serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url
1,6,2,18,1,0,0,-1,19,0,0,0,0,2,0
2,1,1,2,1,0,0,-1,3,0,0,0,0.16666666666666666,1,0
3,4,1,8,1,0,0,-1,9,0,0,0,4.0,1,0
4,2,2,7,1,0,0,-1,8,0,0,0,0.5,2,0
5,4,2,12,1,0,0,-1,13,2,0,0,2.0,2,0
6,5,3,17,1,0,0,-1,18,0,0,0,1.25,3,0
7,2,2,5,1,0,0,-1,6,0,0,0,0.4,2,0
8,2,2,7,1,0,0,-1,8,0,0,0,1.0,2,0
9,4,3,14,1,0,0,-1,15,0,0,0,2.0,3,0
10,3,2,8,1,0,0,-1,9,0,0,0,0.75,2,0
11,5,2,15,1,0,0,-1,16,0,0,0,1.6666666666666667,2,0
12,6,3,23,1,0,1,-1,24,0,0,0,1.2,3,0
13,2,2,6,1,0,0,-1,7,0,0,0,0.3333333333333333,2,0
14,6,3,23,1,0,1,-1,24,0,0,0,3.0,3,0
15,2,3,9,1,0,0,-1,10,0,0,0,0.3333333333333333,3,0
16,1,5,9,1,0,0,-1,10,0,0,0,0.5,5,0
17,2,2,6,1,0,0,-1,7,0,0,0,2.0,2,0
18,2,2,6,1,0,0,-1,7,0,0,0,1.0,2,0
19,2,2,6,1,0,0,-1,7,0,0,0,1.0,2,0
20,4,2,13,1,0,0,-1,14,0,0,0,2.0,2,0
21,3,3,11,1,0,0,-1,12,0,0,0,0.75,3,0
22,4,1,8,1,0,0,-1,9,0,0,0,1.3333333333333333,1,0
23,5,2,14,1,0,0,-1,15,0,0,0,1.25,2,0
24,1,4,8,1,0,0,-1,9,0,0,0,0.2,4,0
25,1,2,4,1,0,0,-1,5,0,1,0,1.0,2,0
26,3,2,9,1,0,0,-1,10,0,0,0,3.0,2,0
27,4,3,14,1,0,0,-1,15,0,0,0,1.3333333333333333,3,0
