serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url
1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0
2,4,2,12,1,0,0,-1,13,0,0,0,4.0,2,0
3,6,2,13,1,0,0,1,14,0,0,0,1.5,2,0
4,4,3,15,1,0,0,-1,16,0,0,0,0.6666666666666666,3,0
5,1,0,0,0,4,0,-1,0,0,0,0,0.25,0,0
6,4,4,19,1,0,0,-1,20,0,0,0,4.0,4,0
7,2,2,6,1,0,0,-1,7,0,0,0,0.5,2,0
8,5,2,16,1,0,0,-1,17,0,0,0,2.5,2,0
9,4,3,15,1,0,1,-1,16,0,0,0,0.8,3,0
10,5,2,13,1,0,0,-1,14,0,0,0,1.25,2,0
11,4,3,18,1,0,0,-1,19,0,0,0,0.8,3,0
12,1,2,3,1,0,0,-1,4,0,0,0,0.25,2,0
13,5,3,20,2,0,1,-1,22,1,0,0,5.0,3,0
14,3,2,9,1,0,0,-1,10,0,0,0,0.6,2,0
15,9,4,40,1,0,0,-1,41,0,0,0,3.0,4,0
16,5,3,19,1,0,0,-1,20,0,1,0,0.5555555555555556,3,0
17,6,3,20,1,0,0,-1,21,0,0,0,1.2,3,0
18,1,0,0,0,4,0,-1,0,0,0,0,0.16666666666666666,0,0
19,4,2,12,1,0,0,-1,13,2,0,0,4.0,2,0
20,3,4,15,1,0,0,3,16,0,0,0,0.75,4,0
21,7,4,32,3,0,0,-1,35,0,0,0,2.3333333333333335,4,0
22,1,0,0,0,5,0,-1,0,0,0,0,0.14285714285714285,0,0
23,3,3,12,1,0,0,-1,13,0,0,0,3.0,3,0
24,1,3,5,1,0,0,-1,6,0,0,0,0.3333333333333333,3,0
25,4,4,19,1,0,0,-1,20,0,1,0,4.0,4,0
26,1,0,0,0,5,0,-1,0,0,0,0,0.25,0,0
27,1,2,4,1,0,0,2,5,0,1,1,1.0,2,0
