serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url,response_time
1,1,2,4,1,0,0,-1,5,0,1,0,0,2,0,0.0
2,3,3,11,1,0,0,-1,12,0,0,0,3.0,3,0,0.0
3,5,3,20,1,0,0,-1,21,0,0,0,1.6666666666666667,3,0,0.0
4,4,2,13,1,0,0,-1,14,0,0,0,0.8,2,0,0.0
5,3,3,11,1,0,0,-1,12,0,0,0,0.75,3,0,0.0
6,4,2,13,1,0,0,-1,14,0,0,0,1.3333333333333333,2,0,0.0
7,4,3,17,1,0,0,-1,18,0,0,0,1.0,3,0,0.0
8,3,3,12,1,0,0,-1,13,0,0,0,0.75,3,0,0.0
9,2,3,8,1,0,0,-1,9,0,1,0,0.6666666666666666,3,0,0.0
10,3,3,11,1,0,0,-1,12,0,0,0,1.5,3,0,0.0
11,1,1,2,1,0,0,-1,3,0,0,0,0.3333333333333333,1,0,0.0
12,3,3,14,1,0,1,-1,15,0,0,0,3.0,3,0,0.0
13,4,2,10,1,0,2,1,11,0,0,0,1.3333333333333333,2,0,0.0
14,2,2,7,1,0,0,-1,8,0,0,0,0.5,2,0,0.0
15,1,5,9,1,0,0,1,10,0,0,0,0.5,5,0,0.0
16,1,2,3,1,0,0,-1,4,0,0,0,1.0,2,0,0.0
17,3,2,9,1,0,1,2,10,0,1,1,3.0,2,0,0.0
18,7,2,20,3,0,1,-1,23,0,0,0,2.3333333333333335,2,0,0.0
19,5,3,21,1,0,0,-1,22,0,0,0,0.7142857142857143,3,0,0.0
20,1,2,4,1,0,0,-1,5,0,0,0,0.2,2,0,0.0
21,3,4,16,1,0,0,0,17,0,0,0,3.0,4,0,0.0
22,6,2,19,1,0,1,-1,20,0,0,0,2.0,2,0,0.0
23,4,3,16,1,0,0,-1,17,0,0,0,0.6666666666666666,3,0,0.0
24,3,3,11,1,0,0,2,12,0,1,1,0.75,3,0,0.0
25,3,2,7,2,0,0,1,9,0,0,0,1.0,2,0,0.0
26,3,2,10,1,0,0,1,11,0,0,0,1.0,2,0,0.0
27,7,3,24,2,0,0,1,26,0,0,0,2.3333333333333335,3,0,0.0
28,1,0,0,0,1,0,-1,0,0,0,0,0.14285714285714285,0,0,0.0
29,4,3,14,1,0,0,0,15,0,0,0,4.0,3,0,0.0
30,3,3,11,1,0,0,-1,12,0,1,0,0.75,3,0,0.0
31,2,2,6,1,0,0,-1,7,0,0,0,0.6666666666666666,2,0,0.0
32,1,0,0,0,0,0,-1,0,0,0,0,0.5,0,0,0.0
33,6,3,22,1,0,0,0,23,0,1,0,6.0,3,0,0.0
34,5,4,28,1,0,0,0,29,0,0,0,0.8333333333333334,4,0,0.0
35,3,2,8,1,0,1,-1,9,0,0,0,0.6,2,0,0.0
36,1,1,2,1,0,0,-1,3,0,0,0,0.3333333333333333,1,0,0.0
37,2,3,9,1,0,0,-1,10,0,0,0,2.0,3,0,0.0
38,5,3,16,2,0,0,0,18,0,0,0,2.5,3,0,0.0
39,3,4,16,1,0,0,0,17,0,0,0,0.6,4,0,0.0
40,4,4,19,1,0,0,2,20,0,1,1,1.3333333333333333,4,0,0.0
41,5,3,18,1,0,0,1,19,0,0,0,1.25,3,0,0.0
42,2,2,2,4,0,0,0,6,0,0,0,0.4,2,0,0.0
43,4,3,18,1,0,0,-1,19,0,1,0,2.0,3,0,0.0
44,5,3,18,1,0,0,3,19,0,1,1,1.25,3,0,0.0
45,5,2,15,1,0,0,1,16,0,0,0,1.0,2,0,0.0
46,1,0,0,0,3,0,-1,0,0,0,0,0.2,0,0,0.0
47,1,4,8,1,0,0,-1,9,0,1,0,1.0,4,0,0.0
48,2,3,8,1,0,0,-1,9,0,1,0,2.0,3,0,0.0
49,3,3,11,1,0,0,-1,12,0,0,0,1.5,3,0,0.0
50,4,4,21,1,0,0,-1,22,0,0,0,1.3333333333333333,4,0,0.0
51,6,2,17,0,0,0,1,17,0,0,0,1.5,2,0,0.0
52,1,0,0,0,3,0,-1,0,0,0,0,0.16666666666666666,0,0,0.0
53,6,3,23,1,0,0,1,24,0,0,0,6.0,3,0,0.0
54,7,2,20,1,0,0,0,21,0,1,0,1.1666666666666667,2,0,0.0
55,4,2,10,1,0,1,0,11,0,0,0,0.5714285714285714,2,0,0.0
56,6,3,20,1,0,0,-1,21,0,0,0,1.5,3,0,0.0
57,4,2,13,1,0,0,-1,14,0,0,0,0.6666666666666666,2,0,0.0
58,5,4,23,1,0,0,1,24,0,2,0,1.25,4,0,0.0
59,4,3,17,1,0,0,-1,18,0,0,0,0.8,3,0,0.0
60,1,2,4,1,0,0,-1,5,0,1,0,0.25,2,0,0.0
61,4,3,15,1,0,0,-1,16,0,0,0,4.0,3,0,0.0
62,3,2,9,1,0,1,-1,10,0,0,0,0.75,2,0,0.0
63,3,3,12,1,0,1,-1,13,0,0,0,1.0,3,0,0.0
64,3,3,12,1,0,0,-1,13,0,0,0,1.0,3,0,0.0
65,4,2,10,1,0,0,0,11,0,0,0,1.3333333333333333,2,0,0.0
66,4,2,10,1,0,0,0,11,0,0,0,1.0,2,0,0.0
67,5,2,12,2,0,0,0,14,0,0,0,1.25,2,0,0.0
68,8,3,33,2,0,0,6,35,0,2,1,1.6,3,0,0.0
69,1,0,0,0,2,0,-1,0,0,0,0,0.125,0,0,0.0
70,1,2,4,1,0,0,3,5,0,1,1,1.0,2,0,0.0
71,2,2,5,1,0,0,2,6,0,1,1,2.0,2,0,0.0
72,1,4,7,1,0,0,4,8,0,1,1,0.5,4,0,0.0
73,6,2,16,1,0,2,-1,17,0,0,0,6.0,2,0,0.0
74,6,2,16,1,0,0,0,17,0,0,0,1.0,2,0,0.0
75,6,2,17,2,0,0,0,19,0,0,0,1.0,2,0,0.0
76,2,3,7,2,0,0,0,9,0,0,0,0.3333333333333333,3,0,0.0
77,7,2,18,1,0,0,1,19,0,0,0,3.5,2,0,0.0
78,5,3,17,1,0,1,0,18,0,0,0,0.7142857142857143,3,0,0.0
79,4,3,17,1,0,0,-1,18,0,0,0,0.8,3,0,0.0
80,8,2,23,1,0,1,-1,24,0,0,0,2.0,2,0,0.0
81,5,4,23,1,0,0,-1,24,0,0,0,0.625,4,0,0.0
82,4,2,13,0,0,0,3,13,0,0,0,0.8,2,0,0.0
83,3,3,11,1,0,1,-1,12,0,0,0,0.75,3,0,0.0
84,2,3,8,1,0,0,1,9,0,1,0,0.6666666666666666,3,0,0.0
85,1,0,0,0,2,0,-1,0,0,0,0,0.5,0,0,0.0
86,7,2,18,2,0,0,0,20,0,0,0,7.0,2,0,0.0
87,2,3,8,1,0,0,-1,9,0,0,0,0.2857142857142857,3,0,0.0
88,3,2,8,2,0,0,-1,10,0,0,0,1.5,2,0,0.0
89,2,3,10,1,0,0,-1,11,0,1,0,0.6666666666666666,3,0,0.0
90,4,3,13,2,0,0,-1,15,0,1,0,2.0,3,0,0.0
