serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url
1,3,2,10,1,0,0,-1,11,0,0,0,0,2,0
2,5,3,17,1,0,1,-1,18,0,0,0,1.6666666666666667,3,0
3,14,2,33,1,0,1,0,34,0,0,0,2.8,2,0
4,1,0,0,0,3,0,-1,0,0,0,0,0.07142857142857142,0,0
5,2,3,8,1,0,0,-1,9,0,0,0,2.0,3,0
6,1,1,1,1,0,0,-1,2,0,0,0,0.5,1,0
7,4,2,9,1,0,0,-1,10,0,0,0,4.0,2,0
8,4,3,18,1,0,0,-1,19,0,0,0,1.0,3,0
9,9,2,28,1,0,2,1,29,0,0,0,2.25,2,0
10,3,1,4,1,0,0,0,5,0,0,0,0.3333333333333333,1,0
11,2,2,7,1,0,0,-1,8,0,0,0,0.6666666666666666,2,0
12,6,2,16,1,0,1,1,17,0,0,0,3.0,2,0
13,1,0,0,0,1,0,-1,0,0,0,0,0.16666666666666666,0,0
14,4,2,12,1,0,0,1,13,0,0,0,4.0,2,0
15,1,0,0,0,1,0,-1,0,0,0,0,0.25,0,0
16,2,1,4,1,0,0,-1,5,0,0,0,2.0,1,0
17,3,2,10,1,0,0,-1,11,0,0,0,1.5,2,0
18,4,2,13,1,0,0,-1,14,0,0,0,1.3333333333333333,2,0
19,2,1,4,1,0,0,-1,5,0,0,0,0.5,1,0
20,4,2,9,1,0,0,-1,10,0,0,0,2.0,2,0
21,2,2,6,1,0,0,-1,7,0,0,0,0.5,2,0
22,4,3,14,1,0,0,-1,15,0,0,0,2.0,3,0
23,7,2,17,1,0,1,-1,18,0,0,0,1.75,2,0
24,1,0,0,0,1,0,-1,0,0,0,0,0.14285714285714285,0,0
25,9,2,28,1,0,2,-1,29,0,0,0,9.0,2,0
26,9,2,25,1,0,1,-1,26,0,0,0,1.0,2,0
27,7,2,21,1,0,1,-1,22,0,0,0,0.7777777777777778,2,0
28,4,2,9,1,0,0,-1,10,0,0,0,0.5714285714285714,2,0
29,3,1,6,1,0,0,-1,7,0,0,0,0.75,1,0
30,10,2,30,1,0,1,-1,31,1,0,0,3.3333333333333335,2,0
31,2,2,5,1,0,1,-1,6,0,0,0,0.2,2,0
32,3,2,10,1,0,1,-1,11,0,0,0,1.5,2,0
33,2,3,10,1,0,0,-1,11,0,0,0,0.6666666666666666,3,0
34,1,0,0,0,1,0,-1,0,0,0,0,0.5,0,0
35,5,2,12,1,0,1,-1,13,0,0,0,5.0,2,0
36,4,3,15,1,0,0,-1,16,0,0,0,0.8,3,0
37,2,2,7,1,0,0,-1,8,0,0,0,0.5,2,0
38,6,2,19,1,0,0,2,20,1,1,1,3.0,2,0
39,1,0,0,0,1,0,-1,0,0,0,0,0.16666666666666666,0,0
40,7,3,26,1,0,1,-1,27,0,0,0,7.0,3,0
41,7,2,20,1,0,1,-1,21,2,0,0,1.0,2,0
42,5,2,14,1,0,0,-1,15,0,0,0,0.7142857142857143,2,0
43,1,1,1,1,0,0,-1,2,0,0,0,0.2,1,0
44,8,2,23,1,0,0,-1,24,1,0,0,8.0,2,0
45,12,3,39,1,0,3,-1,40,0,0,0,1.5,3,0
46,1,0,0,0,1,0,-1,0,0,0,0,0.08333333333333333,0,0
47,10,2,23,1,0,1,-1,24,1,0,0,10.0,2,0
48,1,0,0,0,2,0,-1,0,0,0,0,0.1,0,0
49,1,2,3,1,0,0,-1,4,0,0,0,1.0,2,0
50,19,3,62,1,0,2,-1,63,0,0,0,19.0,3,0
51,1,3,5,1,0,0,-1,6,0,0,0,0.05263157894736842,3,0
52,4,2,9,1,0,0,-1,10,0,0,0,4.0,2,0
53,1,0,0,0,1,0,-1,0,0,0,0,0.25,0,0
54,5,3,19,1,0,1,-1,20,0,0,0,5.0,3,0
55,2,2,5,1,0,0,-1,6,0,0,0,0.4,2,0
56,23,3,78,1,0,2,3,79,0,0,0,11.5,3,0
57,7,2,20,1,0,2,-1,21,0,0,0,0.30434782608695654,2,0
58,1,1,2,1,0,0,-1,3,0,0,0,0.14285714285714285,1,0
59,9,2,20,1,0,1,-1,21,0,0,0,9.0,2,0
60,5,3,20,1,0,0,-1,21,0,0,0,0.5555555555555556,3,0
61,9,2,24,1,0,0,-1,25,1,0,0,1.8,2,0
62,4,2,12,1,0,0,-1,13,0,0,0,0.4444444444444444,2,0
63,6,3,20,1,0,0,-1,21,1,0,0,1.5,3,0
64,4,3,16,1,0,0,-1,17,1,0,0,0.6666666666666666,3,0
65,3,1,6,0,0,0,0,6,1,0,0,0.75,1,0
66,2,2,6,1,0,0,-1,7,0,0,0,0.6666666666666666,2,0
67,6,4,29,3,0,1,2,32,0,1,1,3.0,4,0
68,8,3,28,1,0,1,-1,29,0,0,0,1.3333333333333333,3,0
69,4,1,8,0,0,0,0,8,1,0,0,0.5,1,0
70,3,2,8,1,0,0,-1,9,0,0,0,0.75,2,0
71,6,3,21,1,0,0,-1,22,0,0,0,2.0,3,0
72,2,2,7,1,0,0,-1,8,0,0,0,0.3333333333333333,2,0
73,2,2,7,1,0,0,-1,8,0,0,0,1.0,2,0
74,5,2,15,1,0,0,-1,16,1,0,0,2.5,2,0
75,3,2,7,1,0,0,-1,8,0,0,0,0.6,2,0
76,9,3,36,1,0,1,3,37,0,1,1,3.0,3,0
77,3,3,11,1,0,0,-1,12,0,0,0,0.3333333333333333,3,0
78,1,0,0,0,1,0,-1,0,0,0,0,0.3333333333333333,0,0
79,8,4,36,1,0,1,-1,37,0,0,0,8.0,4,0
80,4,2,12,1,0,0,-1,13,0,0,0,0.5,2,0
81,5,2,13,1,0,0,-1,14,0,0,0,1.25,2,0
82,3,4,16,1,0,0,-1,17,0,0,0,0.6,4,0
83,6,3,22,1,0,0,-1,23,0,0,0,2.0,3,0
84,8,3,28,1,0,2,-1,29,0,0,0,1.3333333333333333,3,0
85,10,3,41,1,0,2,1,42,0,0,0,1.25,3,0
86,7,3,24,1,0,0,-1,25,1,0,0,0.7,3,0
87,4,2,11,1,0,0,-1,12,0,0,0,0.5714285714285714,2,0
88,1,2,3,1,0,0,-1,4,0,0,0,0.25,2,0
89,1,2,3,1,0,0,-1,4,0,0,0,1.0,2,0
90,6,3,20,1,0,2,-1,21,0,0,0,6.0,3,0
91,1,2,3,1,0,0,-1,4,0,0,0,0.16666666666666666,2,0
92,6,3,22,1,0,1,-1,23,0,0,0,6.0,3,0
93,8,3,30,1,0,2,-1,31,0,0,0,1.3333333333333333,3,0
94,4,3,16,1,0,1,-1,17,0,0,0,0.5,3,0
95,9,2,21,1,0,1,-1,22,0,0,0,2.25,2,0
96,4,3,16,1,0,0,-1,17,1,0,0,0.4444444444444444,3,0
97,6,3,23,1,0,0,-1,24,0,0,0,1.5,3,0
98,3,2,8,1,0,1,-1,9,0,0,0,0.5,2,0
99,2,2,6,1,0,0,-1,7,0,0,0,0.6666666666666666,2,0
100,5,4,23,1,0,0,-1,24,0,0,0,2.5,4,0
101,1,2,4,1,0,0,-1,5,0,0,0,0.2,2,0
102,4,4,19,1,0,1,-1,20,0,0,0,4.0,4,0
103,2,1,4,1,0,1,-1,5,0,0,0,0.5,1,0
104,7,3,28,1,0,1,-1,29,0,0,0,3.5,3,0
105,4,2,12,1,0,1,-1,13,0,0,0,0.5714285714285714,2,0
106,3,2,9,1,0,0,-1,10,0,0,0,0.75,2,0
107,4,3,14,1,0,0,-1,15,0,0,0,1.3333333333333333,3,0
108,2,2,5,1,0,0,-1,6,0,0,0,0.5,2,0
109,4,3,15,1,0,0,-1,16,0,0,0,2.0,3,0
110,3,2,7,1,0,0,-1,8,0,0,0,0.75,2,0
111,3,3,10,2,0,0,0,12,0,0,0,1.0,3,0
112,5,0,0,0,0,0,2,0,0,1,1,1.6666666666666667,0,0
113,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0
114,1,7,12,3,0,0,2,15,0,0,0,0,7,0
115,2,0,0,0,4,0,1,0,0,0,0,2.0,0,0
116,1,0,0,0,1,0,-1,0,0,0,0,0.5,0,0
117,0,0,11,1,0,0,0,0,0,0,0,0.0,0,1
118,1,2,3,1,0,0,-1,4,0,0,0,0,2,0
119,3,4,15,1,0,0,-1,16,0,0,0,3.0,4,0
120,4,2,13,1,0,0,-1,14,0,0,0,1.3333333333333333,2,0
121,6,3,22,1,0,1,1,23,0,0,0,1.5,3,0
122,2,2,5,1,0,0,-1,6,0,0,0,0.3333333333333333,2,0
123,1,2,3,1,0,0,-1,4,0,0,0,0.5,2,0
124,4,2,11,1,0,0,-1,12,0,0,0,4.0,2,0
125,1,2,4,1,0,0,-1,5,0,1,0,0.25,2,0
126,6,2,18,1,0,0,-1,19,0,0,0,6.0,2,0
127,5,3,17,1,0,0,-1,18,0,0,0,0.8333333333333334,3,0
128,1,2,3,1,0,0,-1,4,0,0,0,0.2,2,0
129,8,2,21,1,0,1,-1,22,0,0,0,8.0,2,0
130,15,4,64,1,0,0,1,65,1,0,0,1.875,4,0
131,3,3,12,1,0,0,-1,13,0,0,0,0.2,3,0
132,7,3,26,1,0,0,1,27,0,0,0,2.3333333333333335,3,0
133,1,2,3,1,0,0,-1,4,0,0,0,0.14285714285714285,2,0
134,2,4,13,1,0,0,1,14,0,0,0,2.0,4,0
135,3,3,13,1,0,0,-1,14,0,0,0,1.5,3,0
136,2,2,5,1,0,0,-1,6,0,0,0,0.6666666666666666,2,0
137,3,3,13,1,0,0,-1,14,0,0,0,1.5,3,0
138,3,5,15,5,0,0,16,20,0,1,0,1.0,5,0
139,6,2,15,1,0,1,-1,16,0,0,0,2.0,2,0
140,7,3,26,1,0,1,-1,27,1,0,0,1.1666666666666667,3,0
141,5,2,13,1,0,1,-1,14,0,0,0,0.7142857142857143,2,0
142,1,0,0,0,3,0,-1,0,0,0,0,0.2,0,0
143,1,3,5,1,0,0,-1,6,0,0,0,1.0,3,0
144,5,3,19,1,0,0,-1,20,0,0,0,5.0,3,0
145,1,0,0,0,1,0,-1,0,0,0,0,0.2,0,0
146,6,3,22,1,0,0,-1,23,0,0,0,6.0,3,0
147,6,2,17,1,0,1,-1,18,1,0,0,1.0,2,0
148,3,2,9,1,0,0,-1,10,0,0,0,0.5,2,0
149,8,3,26,1,0,1,-1,27,1,0,0,2.6666666666666665,3,0
150,7,3,26,1,0,1,1,27,0,0,0,0.875,3,0
