serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url,response_time
1,3,2,10,1,0,0,-1,11,0,0,0,0,2,0,0
2,5,3,17,1,0,1,-1,18,0,0,0,1.6666666666666667,3,0,12448200.0
3,14,2,33,1,0,1,0,34,0,0,0,2.8,2,0,16860.0
4,1,0,0,0,3,0,-1,0,0,0,0,0.07142857142857142,0,0,180.0
5,2,3,8,1,0,0,-1,9,0,0,0,2.0,3,0,180.0
6,1,1,1,1,0,0,-1,2,0,0,0,0.5,1,0,1260.0
7,4,2,9,1,0,0,-1,10,0,0,0,4.0,2,0,660.0
8,4,3,18,1,0,0,-1,19,0,0,0,1.0,3,0,660.0
9,9,2,28,1,0,2,1,29,0,0,0,2.25,2,0,60.0
10,3,1,4,1,0,0,0,5,0,0,0,0.3333333333333333,1,0,3720.0
11,2,2,7,1,0,0,-1,8,0,0,0,0.6666666666666666,2,0,1920.0
12,6,2,16,1,0,1,1,17,0,0,0,3.0,2,0,1560.0
13,1,0,0,0,1,0,-1,0,0,0,0,0.16666666666666666,0,0,540.0
14,4,2,12,1,0,0,1,13,0,0,0,4.0,2,0,60.0
15,1,0,0,0,1,0,-1,0,0,0,0,0.25,0,0,60.0
16,2,1,4,1,0,0,-1,5,0,0,0,2.0,1,0,60.0
17,3,2,10,1,0,0,-1,11,0,0,0,1.5,2,0,60.0
18,4,2,13,1,0,0,-1,14,0,0,0,1.3333333333333333,2,0,60.0
19,2,1,4,1,0,0,-1,5,0,0,0,0.5,1,0,0.0
20,4,2,9,1,0,0,-1,10,0,0,0,2.0,2,0,60.0
21,2,2,6,1,0,0,-1,7,0,0,0,0.5,2,0,0.0
22,4,3,14,1,0,0,-1,15,0,0,0,2.0,3,0,0.0
23,7,2,17,1,0,1,-1,18,0,0,0,1.75,2,0,0.0
24,1,0,0,0,1,0,-1,0,0,0,0,0.14285714285714285,0,0,0.0
25,9,2,28,1,0,2,-1,29,0,0,0,9.0,2,0,0.0
26,9,2,25,1,0,1,-1,26,0,0,0,1.0,2,0,0.0
27,7,2,21,1,0,1,-1,22,0,0,0,0.7777777777777778,2,0,60.0
28,4,2,9,1,0,0,-1,10,0,0,0,0.5714285714285714,2,0,0.0
29,3,1,6,1,0,0,-1,7,0,0,0,0.75,1,0,0.0
30,10,2,30,1,0,1,-1,31,1,0,0,3.3333333333333335,2,0,60.0
31,2,2,5,1,0,1,-1,6,0,0,0,0.2,2,0,0.0
32,3,2,10,1,0,1,-1,11,0,0,0,1.5,2,0,0.0
33,2,3,10,1,0,0,-1,11,0,0,0,0.6666666666666666,3,0,0.0
34,1,0,0,0,1,0,-1,0,0,0,0,0.5,0,0,0.0
35,5,2,12,1,0,1,-1,13,0,0,0,5.0,2,0,0.0
36,4,3,15,1,0,0,-1,16,0,0,0,0.8,3,0,0.0
37,2,2,7,1,0,0,-1,8,0,0,0,0.5,2,0,0.0
38,6,2,19,1,0,0,2,20,1,1,1,3.0,2,0,0.0
39,1,0,0,0,1,0,-1,0,0,0,0,0.16666666666666666,0,0,0.0
40,7,3,26,1,0,1,-1,27,0,0,0,7.0,3,0,0.0
41,7,2,20,1,0,1,-1,21,2,0,0,1.0,2,0,0.0
42,5,2,14,1,0,0,-1,15,0,0,0,0.7142857142857143,2,0,0.0
43,1,1,1,1,0,0,-1,2,0,0,0,0.2,1,0,0.0
