serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url
1,7,3,26,1,1,0,-1,27,0,0,0,0,3,0
2,3,3,12,1,0,0,-1,13,0,0,0,0.42857142857142855,3,0
3,2,3,8,1,0,0,-1,9,0,0,0,0.6666666666666666,3,0
4,6,3,22,1,0,0,0,23,0,0,0,3.0,3,0
5,5,3,17,1,0,0,0,18,0,0,0,0.8333333333333334,3,0
6,8,3,31,2,0,0,1,33,0,0,0,1.6,3,0
7,3,2,7,2,0,0,0,9,0,0,0,0.375,2,0
8,10,2,29,0,1,0,1,29,0,0,0,3.3333333333333335,2,0
9,5,3,19,1,0,0,-1,20,0,0,0,0.5,3,0
10,31,3,111,2,0,0,1,113,1,0,0,6.2,3,0
11,5,3,19,1,0,0,0,20,0,0,0,0.16129032258064516,3,0
12,1,2,3,1,0,0,0,4,0,0,0,0.2,2,0
13,9,2,26,1,0,0,0,27,0,0,0,9.0,2,0
14,4,2,11,1,0,0,0,12,0,0,0,0.4444444444444444,2,0
15,2,2,7,1,0,0,0,8,0,0,0,0.5,2,0
16,5,3,17,2,0,0,0,19,0,0,0,2.5,3,0
17,3,1,6,1,1,0,-1,7,0,0,0,0.6,1,0
18,1,4,8,1,0,0,-1,9,0,0,0,0.3333333333333333,4,0
19,8,3,25,2,0,0,0,27,1,0,0,8.0,3,0
20,1,2,3,1,0,0,0,4,0,0,0,0.125,2,0
21,4,3,17,1,0,0,-1,18,0,0,0,4.0,3,0
22,3,2,9,1,0,0,-1,10,0,0,0,0.75,2,0
23,8,3,26,1,0,0,0,27,0,0,0,2.6666666666666665,3,0
24,5,2,16,1,1,0,-1,17,0,0,0,0.625,2,0
25,6,4,27,1,0,0,-1,28,0,0,0,1.2,4,0
26,7,3,23,1,0,0,-1,24,0,0,0,1.1666666666666667,3,0
27,2,1,4,1,0,0,-1,5,0,0,0,0.2857142857142857,1,0
28,1,0,0,0,1,0,-1,0,0,0,0,0.5,0,0
29,8,3,30,1,0,0,-1,31,0,0,0,8.0,3,0
30,8,3,30,1,0,0,-1,31,0,0,0,1.0,3,0
31,8,3,30,1,0,0,-1,31,0,0,0,1.0,3,0
32,1,0,0,0,1,0,-1,0,0,0,0,0.125,0,0
33,11,3,40,1,1,0,-1,41,0,0,0,11.0,3,0
34,5,3,20,1,1,0,-1,21,0,0,0,0.45454545454545453,3,0
35,8,4,39,1,0,0,-1,40,0,0,0,1.6,4,0
36,8,3,31,2,0,0,0,33,0,0,0,1.0,3,0
37,4,3,14,1,0,0,-1,15,0,0,0,0.5,3,0
38,2,2,6,1,0,0,-1,7,0,0,0,0.5,2,0
39,10,4,46,1,0,0,-1,47,0,0,0,5.0,4,0
40,8,4,37,1,0,0,0,38,0,0,0,0.8,4,0
41,15,3,58,2,0,0,1,60,0,0,0,1.875,3,0
42,7,3,27,1,0,0,-1,28,0,0,0,0.4666666666666667,3,0
43,3,3,12,1,0,0,-1,13,0,0,0,0.42857142857142855,3,0
44,22,3,89,1,0,0,0,90,0,0,0,7.333333333333333,3,0
45,8,3,32,1,0,0,-1,33,0,0,0,0.36363636363636365,3,0
46,2,2,7,1,0,0,-1,8,3,0,0,0.25,2,0
47,1,1,2,1,0,0,-1,3,0,0,0,0.5,1,0
48,2,2,6,1,0,0,-1,7,0,0,0,2.0,2,0
49,6,3,23,1,0,0,-1,24,1,0,0,3.0,3,0
50,1,0,0,0,1,0,-1,0,0,0,0,0.16666666666666666,0,0
51,14,3,56,2,0,0,0,58,0,0,0,14.0,3,0
52,1,0,0,0,1,0,-1,0,0,0,0,0.07142857142857142,0,0
53,7,4,31,1,0,0,0,32,0,0,0,7.0,4,0
54,6,3,22,0,0,0,-1,22,0,0,0,0.8571428571428571,3,0
55,3,4,18,1,0,0,-1,19,0,0,0,0.5,4,0
56,5,5,30,2,0,0,1,32,0,0,0,1.6666666666666667,5,0
57,1,0,0,0,1,0,-1,0,0,0,0,0.2,0,0
58,5,2,15,1,0,0,0,16,0,0,0,5.0,2,0
59,1,0,0,0,0,0,0,0,0,0,0,0.2,0,0
60,1,2,3,1,0,0,-1,4,0,0,0,1.0,2,0
61,7,3,23,1,0,0,0,24,0,0,0,7.0,3,0
62,8,3,34,1,0,0,0,35,0,0,0,1.1428571428571428,3,0
63,10,3,36,2,0,0,0,38,0,0,0,1.25,3,0
64,3,2,8,1,0,0,0,9,0,0,0,0.3,2,0
65,2,1,4,0,0,0,1,4,0,0,0,0.6666666666666666,1,0
66,2,1,4,0,0,0,1,4,0,0,0,1.0,1,0
67,3,1,4,0,1,0,0,4,0,0,0,1.5,1,0
68,7,2,22,1,0,0,0,23,0,0,0,2.3333333333333335,2,0
