serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url,response_time
1,2,3,9,1,0,0,4,10,0,2,1,0,3,0,0.0
2,1,0,0,0,7,0,-1,0,0,0,0,0.5,0,0,0.0
3,2,4,12,1,0,0,3,13,2,1,1,2.0,4,0,0.0
4,1,0,0,0,3,0,-1,0,0,0,0,0.5,0,0,0.0
5,6,4,28,1,0,0,2,29,0,1,1,6.0,4,0,0.0
6,6,4,28,1,0,0,-1,29,0,1,0,1.0,4,0,0.0
7,11,3,46,1,0,0,1,47,2,0,0,1.8333333333333333,3,0,0.0
8,1,0,0,0,0,0,-1,0,0,0,0,0.09090909090909091,0,0,0.0
9,3,3,12,1,0,0,-1,13,0,0,0,3.0,3,0,0.0
10,1,0,0,0,3,0,-1,0,0,0,0,0.3333333333333333,0,0,0.0
11,4,3,17,1,0,0,-1,18,0,1,0,4.0,3,0,0.0
12,4,2,12,1,0,0,0,13,0,0,0,1.0,2,0,0.0
13,4,3,15,2,0,0,-1,17,0,0,0,1.0,3,0,0.0
14,9,3,32,1,0,0,0,33,0,0,0,2.25,3,0,0.0
15,1,0,0,0,4,0,-1,0,0,0,0,0.1111111111111111,0,0,0.0
16,18,3,68,4,0,8,2,72,0,1,1,18.0,3,0,0.0
17,9,2,27,2,0,5,1,29,0,0,0,0.5,2,0,0.0
18,13,4,53,4,0,4,11,57,0,2,4,1.4444444444444444,4,0,0.0
19,1,2,3,1,0,0,2,4,0,1,1,0.07692307692307693,2,0,0.0
20,1,0,0,0,5,0,-1,0,0,0,0,1.0,0,0,0.0
21,6,3,19,2,0,0,2,21,0,1,1,6.0,3,0,0.0
22,5,4,25,1,0,0,-1,26,0,0,0,0.8333333333333334,4,0,0.0
23,8,3,29,2,0,1,-1,31,0,0,0,1.6,3,0,0.0
24,4,3,14,1,0,0,2,15,0,0,0,0.5,3,0,0.0
25,2,3,9,1,0,0,-1,10,0,1,0,0.5,3,0,0.0
26,7,3,24,2,0,1,-1,26,0,0,0,3.5,3,0,0.0
27,9,3,33,1,0,1,-1,34,1,0,0,1.2857142857142858,3,0,0.0
28,6,4,28,1,0,0,-1,29,0,0,0,0.6666666666666666,4,0,0.0
29,5,3,17,1,0,1,-1,18,1,0,0,0.8333333333333334,3,0,0.0
30,4,2,13,1,0,0,1,14,2,0,0,0.8,2,0,0.0
31,5,2,16,1,0,1,-1,17,0,0,0,1.25,2,0,0.0
32,5,4,24,1,0,0,-1,25,0,0,0,1.0,4,0,0.0
33,7,3,25,1,0,0,0,26,0,0,0,1.4,3,0,0.0
34,7,3,27,1,0,0,-1,28,0,0,0,1.0,3,0,0.0
35,12,4,54,1,0,3,-1,55,1,0,0,1.7142857142857142,4,0,0.0
36,5,3,21,1,0,0,-1,22,0,0,0,0.4166666666666667,3,0,0.0
37,7,3,30,1,0,2,-1,31,0,0,0,1.4,3,0,0.0
38,7,3,27,1,0,0,-1,28,0,0,0,1.0,3,0,0.0
39,9,2,27,1,0,0,2,28,1,0,0,1.2857142857142858,2,0,0.0
40,5,3,16,2,0,0,2,18,0,0,0,0.5555555555555556,3,0,0.0
41,8,3,32,1,0,1,3,33,1,0,0,1.6,3,0,0.0
42,6,4,28,1,0,0,-1,29,0,0,0,0.75,4,0,0.0
43,5,3,20,1,0,0,-1,21,0,1,0,0.8333333333333334,3,0,0.0
44,2,4,11,1,0,0,-1,12,0,0,0,0.4,4,0,0.0
45,3,4,16,1,0,0,-1,17,0,0,0,1.5,4,0,0.0
46,1,3,5,1,0,0,-1,6,0,1,0,0.3333333333333333,3,0,0.0
47,1,2,4,1,0,0,-1,5,0,1,0,1.0,2,0,0.0
48,1,2,3,1,0,0,3,4,0,0,0,1.0,2,0,0.0
49,6,3,25,1,0,0,-1,26,0,0,0,6.0,3,0,0.0
50,4,3,18,1,0,0,0,19,1,1,0,0.6666666666666666,3,0,0.0
