serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url,response_time
1,1,1,1,1,0,0,-1,2,0,0,0,0,1,0,0
2,2,4,12,0,0,0,1,12,0,0,0,2.0,4,1,0.0
3,5,1,9,1,0,1,-1,10,2,0,0,2.5,1,0,0.0
4,10,3,42,1,0,0,0,43,3,0,0,2.0,3,0,0.0
5,3,1,5,1,0,0,1,6,0,0,0,0.3,1,0,0.0
6,1,1,1,1,0,0,-1,2,0,0,0,0.3333333333333333,1,0,0.0
7,3,1,5,2,0,0,-1,7,0,0,0,3.0,1,0,0.0
8,12,3,38,1,0,5,-1,39,4,0,0,4.0,3,0,0.0
9,9,3,36,1,0,0,-1,37,0,0,0,0.75,3,0,0.0
10,2,2,6,1,0,0,-1,7,0,0,0,0.2222222222222222,2,0,0.0
11,3,2,9,1,0,1,0,10,0,0,0,1.5,2,0,0.0
12,1,0,0,0,2,0,-1,0,0,0,0,0.3333333333333333,0,0,0.0
13,17,3,65,1,0,0,-1,66,1,0,0,17.0,3,0,0.0
14,2,3,10,1,0,0,-1,11,0,0,0,0.11764705882352941,3,0,0.0
15,9,3,32,1,0,0,-1,33,1,0,0,4.5,3,0,0.0
16,1,0,0,0,1,0,-1,0,0,0,0,0.1111111111111111,0,0,0.0
17,6,2,17,1,0,2,-1,18,2,0,0,6.0,2,0,0.0
18,3,2,9,1,0,0,-1,10,0,0,0,0.5,2,0,0.0
19,3,2,9,1,0,0,-1,10,0,0,0,1.0,2,0,0.0
20,8,3,28,1,0,0,-1,29,0,0,0,2.6666666666666665,3,0,0.0
21,5,3,18,1,0,2,0,19,3,0,0,0.625,3,0,0.0
22,4,2,10,1,0,0,-1,11,0,0,0,0.8,2,0,0.0
23,9,3,32,1,0,0,-1,33,1,0,0,2.25,3,0,0.0
24,1,1,2,1,0,0,-1,3,0,0,0,0.1111111111111111,1,0,0.0
25,7,3,28,1,0,0,-1,29,0,0,0,7.0,3,0,0.0
26,6,2,15,1,0,0,-1,16,1,0,0,0.8571428571428571,2,0,0.0
27,11,2,34,1,0,0,-1,35,0,0,0,1.8333333333333333,2,0,0.0
28,3,1,6,1,0,0,0,7,2,0,0,0.2727272727272727,1,0,0.0
29,1,0,0,0,4,0,-1,0,0,0,0,0.3333333333333333,0,0,0.0
30,1,3,5,1,0,0,-1,6,0,0,0,1.0,3,0,0.0
31,3,2,9,1,1,0,-1,10,0,0,0,3.0,2,0,0.0
32,5,2,12,1,0,0,-1,13,0,0,0,1.6666666666666667,2,0,0.0
33,3,2,8,1,0,0,-1,9,0,0,0,0.6,2,0,0.0
34,3,2,9,1,0,0,-1,10,0,0,0,1.0,2,0,0.0
35,2,3,8,1,0,0,-1,9,0,0,0,0.6666666666666666,3,0,0.0
36,6,3,25,1,0,1,-1,26,0,0,0,3.0,3,0,0.0
37,6,2,17,1,0,2,0,18,0,0,0,1.0,2,0,0.0
38,1,2,3,1,0,0,-1,4,0,0,0,0.16666666666666666,2,0,0.0
39,3,3,12,1,0,0,-1,13,0,0,0,3.0,3,0,0.0
40,4,2,11,1,0,2,-1,12,0,0,0,1.3333333333333333,2,0,0.0
41,2,2,6,1,0,0,-1,7,0,0,0,0.5,2,0,0.0
42,4,2,9,1,0,2,-1,10,0,0,0,2.0,2,0,0.0
43,1,1,2,1,0,0,-1,3,0,0,0,0.25,1,0,0.0
44,2,4,13,1,0,0,0,14,0,0,0,2.0,4,0,0.0
45,1,2,3,1,0,0,-1,4,0,0,0,0.5,2,0,0.0
46,12,3,42,1,0,4,1,43,3,0,0,12.0,3,0,0.0
47,9,2,26,1,0,0,-1,27,0,0,0,0.75,2,0,0.0
48,6,2,16,2,0,1,-1,18,0,0,0,0.6666666666666666,2,0,0.0
49,3,1,5,1,0,0,-1,6,6,0,0,0.5,1,0,0.0
50,1,2,3,1,0,0,-1,4,0,0,0,0.3333333333333333,2,0,0.0
51,3,2,8,1,0,0,0,9,0,0,0,3.0,2,0,0.0
52,3,3,11,1,0,0,-1,12,0,0,0,1.0,3,0,0.0
53,1,2,3,1,0,0,-1,4,0,0,0,0.3333333333333333,2,0,0.0
54,3,1,5,1,0,0,-1,6,0,0,0,3.0,1,0,0.0
55,5,3,17,1,0,0,-1,18,0,0,0,1.6666666666666667,3,0,0.0
56,1,1,2,1,0,0,0,3,0,0,0,0.2,1,0,0.0
57,4,2,12,1,0,0,-1,13,0,0,0,4.0,2,0,0.0
58,1,1,3,0,0,0,0,3,0,0,0,0.25,1,0,0.0
59,1,0,0,0,2,0,-1,0,0,0,0,1.0,0,0,0.0
60,5,3,19,1,0,0,0,20,0,0,0,5.0,3,0,0.0
61,1,1,1,1,0,0,-1,2,0,0,0,0.2,1,0,0.0
62,8,3,27,1,0,0,-1,28,0,0,0,8.0,3,0,0.0
63,1,0,0,0,3,0,-1,0,0,0,0,0.125,0,0,0.0
64,1,2,3,1,0,0,-1,4,0,0,0,1.0,2,0,0.0
65,2,2,5,1,0,0,-1,6,0,0,0,2.0,2,0,0.0
66,12,3,41,1,0,1,-1,42,0,0,0,6.0,3,0,0.0
67,1,1,2,1,0,0,-1,3,0,0,0,0.08333333333333333,1,0,0.0
68,4,1,8,1,0,0,-1,9,0,0,0,4.0,1,0,0.0
69,3,2,7,1,0,0,0,8,0,0,0,0.75,2,0,0.0
70,1,2,3,1,0,0,-1,4,0,0,0,0.3333333333333333,2,0,0.0
71,8,2,25,1,0,0,-1,26,0,0,0,8.0,2,0,0.0
72,3,2,9,1,0,1,-1,10,0,0,0,0.375,2,0,0.0
73,2,2,6,1,0,0,-1,7,0,0,0,0.6666666666666666,2,0,0.0
74,4,2,13,1,0,0,-1,14,0,0,0,2.0,2,0,0.0
75,1,0,0,0,2,0,-1,0,0,0,0,0.25,0,0,0.0
76,6,3,26,1,0,0,-1,27,0,0,0,6.0,3,0,0.0
77,1,0,0,0,1,0,-1,0,0,0,0,0.16666666666666666,0,0,0.0
78,6,3,25,1,0,0,-1,26,1,0,0,6.0,3,0,0.0
79,3,2,8,1,0,0,-1,9,0,0,0,0.5,2,0,0.0
80,4,2,10,1,0,0,0,11,0,0,0,1.3333333333333333,2,0,0.0
81,6,3,22,1,0,0,0,23,0,0,0,1.5,3,0,0.0
82,6,2,19,1,0,0,-1,20,0,0,0,1.0,2,0,0.0
83,5,2,14,1,0,0,-1,15,0,0,0,0.8333333333333334,2,0,0.0
84,5,3,21,1,0,0,-1,22,0,0,0,1.0,3,0,0.0
85,4,2,9,1,0,0,-1,10,0,0,0,0.8,2,0,0.0
86,4,2,12,1,0,0,-1,13,0,0,0,1.0,2,0,0.0
87,7,3,28,1,0,0,-1,29,0,0,0,1.75,3,0,0.0
88,3,3,14,1,0,0,-1,15,0,0,0,0.42857142857142855,3,0,0.0
