serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url,response_time
1,3,3,13,2,0,0,-1,15,0,0,0,0,3,0,0
2,5,2,16,0,0,3,-1,16,0,0,0,1.6666666666666667,2,0,0
3,0,0,11,1,0,0,0,0,0,0,0,0.0,0,1,0
4,1,6,11,1,0,0,0,12,0,0,0,0,6,0,0
5,4,1,8,1,0,0,-1,9,0,0,0,4.0,1,0,0
6,9,3,32,1,0,2,-1,33,4,0,0,2.25,3,0,0
7,3,3,13,2,0,0,-1,15,0,0,0,0.3333333333333333,3,0,0
8,3,2,8,1,0,0,-1,9,0,0,0,1.0,2,0,0
9,2,4,11,1,0,0,0,12,0,0,0,0.6666666666666666,4,0,0
10,3,2,8,1,0,0,-1,9,0,0,0,1.5,2,0,0
11,3,3,11,1,0,0,-1,12,0,0,0,1.0,3,0,50040.0
12,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0,1705920.0
13,1,1,1,2,1,0,2,3,0,0,0,0,1,0,548700.0
14,1,2,2,2,1,0,2,4,0,0,0,1.0,2,0,548700.0
15,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0,240.0
16,0,2,1,1,0,0,1,2,0,0,0,0,2,0,4380.0
