serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url
1,2,3,9,1,0,0,-1,10,0,0,0,0,3,0
2,21,4,96,1,0,4,1,97,0,0,0,10.5,4,0
3,2,3,8,1,0,0,-1,9,0,0,0,0.09523809523809523,3,0
4,2,2,5,1,0,0,0,6,0,0,0,1.0,2,0
5,6,2,17,1,0,0,-1,18,1,0,0,3.0,2,0
6,8,2,22,1,0,0,-1,23,0,0,0,1.3333333333333333,2,0
7,5,2,15,2,0,0,-1,17,1,0,0,0.625,2,0
8,1,2,3,1,0,0,-1,4,0,0,0,0.2,2,0
9,5,2,14,1,0,0,-1,15,0,0,0,5.0,2,0
10,8,3,34,1,0,0,-1,35,0,0,0,1.6,3,0
11,8,2,25,1,0,0,-1,26,0,0,0,1.0,2,0
12,2,2,5,1,0,0,-1,6,0,0,0,0.25,2,0
13,7,3,24,1,0,0,-1,25,0,0,0,3.5,3,0
14,3,1,3,3,0,0,-1,6,2,0,0,0.42857142857142855,1,0
15,5,2,15,1,0,0,-1,16,0,0,0,1.6666666666666667,2,0
16,5,3,17,1,0,0,-1,18,0,0,0,1.0,3,0
17,8,2,24,1,0,0,1,25,0,0,0,1.6,2,0
18,3,3,11,1,0,0,0,12,0,0,0,0.375,3,0
19,12,3,41,2,0,0,-1,43,1,0,0,4.0,3,0
20,1,1,2,1,0,0,-1,3,0,0,0,0.08333333333333333,1,0
21,10,2,28,1,0,1,-1,29,0,0,0,10.0,2,0
22,6,3,21,1,0,0,-1,22,1,0,0,0.6,3,0
23,4,2,11,1,0,0,-1,12,0,0,0,0.6666666666666666,2,0
24,4,2,13,1,0,0,0,14,2,0,0,1.0,2,0
25,7,3,23,5,0,0,-1,28,0,0,0,1.75,3,0
26,6,2,16,1,0,0,-1,17,0,0,0,0.8571428571428571,2,0
27,3,1,5,1,0,0,-1,6,0,0,0,0.5,1,0
28,1,0,0,0,0,0,-1,0,0,0,0,0.3333333333333333,0,0
29,1,0,0,0,0,0,-1,0,0,0,0,1.0,0,0
30,1,0,0,0,0,0,-1,0,0,0,0,1.0,0,0
31,8,3,26,1,0,1,-1,27,2,0,0,8.0,3,0
32,5,3,17,1,0,0,-1,18,0,0,0,0.625,3,0
33,3,2,9,1,0,0,2,10,0,1,0,0.6,2,0
34,1,2,3,1,0,0,-1,4,3,0,0,0.3333333333333333,2,0
35,3,2,10,1,0,0,-1,11,0,0,0,3.0,2,0
36,5,2,13,1,0,1,-1,14,1,0,0,1.6666666666666667,2,0
37,1,3,5,1,0,0,-1,6,0,0,0,0.2,3,0
38,4,2,11,1,0,0,-1,12,0,0,0,4.0,2,0
39,3,4,18,1,0,0,-1,19,0,0,0,0.75,4,0
40,3,2,9,1,0,0,-1,10,0,0,0,1.0,2,0
41,5,2,14,1,0,0,-1,15,0,0,0,1.6666666666666667,2,0
42,2,1,3,1,0,0,-1,4,0,0,0,0.4,1,0
43,3,2,7,1,0,0,-1,8,0,0,0,1.5,2,0
44,2,1,4,1,0,0,-1,5,0,0,0,0.6666666666666666,1,0
45,2,2,6,1,0,0,-1,7,0,0,0,1.0,2,0
46,4,3,15,1,0,0,0,16,0,0,0,2.0,3,0
47,5,2,13,1,0,0,-1,14,0,0,0,1.25,2,0
48,1,0,0,0,0,0,2,0,0,1,0,0.2,0,0
49,5,2,16,1,0,0,-1,17,0,0,0,5.0,2,0
50,5,3,18,1,0,0,-1,19,0,0,0,1.0,3,0
51,1,2,3,1,0,0,-1,4,0,0,0,0.2,2,0
52,4,2,13,1,0,0,-1,14,0,0,0,4.0,2,0
53,3,2,7,1,0,0,-1,8,0,0,0,0.75,2,0
54,4,1,6,1,0,1,-1,7,1,0,0,1.3333333333333333,1,0
55,10,3,32,1,0,0,-1,33,1,0,0,2.5,3,0
56,10,3,35,1,0,2,0,36,0,0,0,1.0,3,0
57,2,2,6,1,0,0,-1,7,0,0,0,0.2,2,0
58,1,2,3,1,0,0,-1,4,0,0,0,0.5,2,0
59,8,3,24,3,0,1,-1,27,1,0,0,8.0,3,0
60,6,2,19,1,0,0,-1,20,0,0,0,0.75,2,0
61,8,3,31,1,0,0,-1,32,0,0,0,1.3333333333333333,3,0
62,4,2,10,1,0,1,-1,11,0,0,0,0.5,2,0
63,2,3,8,1,0,0,-1,9,0,0,0,0.5,3,0
64,4,3,15,1,0,0,-1,16,0,0,0,2.0,3,0
65,5,2,14,1,0,0,-1,15,1,0,0,1.25,2,0
66,5,3,19,1,0,0,-1,20,0,0,0,1.0,3,0
67,3,3,12,1,0,0,-1,13,0,0,0,0.6,3,0
68,8,3,32,1,0,1,-1,33,0,0,0,2.6666666666666665,3,0
69,6,3,23,2,0,0,-1,25,0,0,0,0.75,3,0
70,1,2,3,1,0,0,-1,4,0,0,0,0.16666666666666666,2,0
71,5,2,14,1,0,0,-1,15,0,0,0,5.0,2,0
72,3,2,9,1,0,1,-1,10,1,0,0,0.6,2,0
73,6,3,23,1,0,0,-1,24,0,0,0,2.0,3,0
74,2,2,5,1,0,0,-1,6,0,0,0,0.3333333333333333,2,0
75,5,2,12,1,0,0,3,13,0,0,0,2.5,2,0
