serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url,response_time
1,10,4,43,1,0,1,1,44,0,3,0,0,4,0,0
2,8,3,31,1,0,0,1,32,0,2,0,0.8,3,0,0
3,4,3,18,1,0,0,4,19,0,1,1,0.5,3,0,0.0
4,1,0,0,0,3,0,-1,0,0,0,0,0.25,0,0,0.0
5,7,2,21,1,0,0,4,22,0,1,0,7.0,2,0,0.0
6,7,4,33,1,0,0,-1,34,0,2,0,1.0,4,0,0.0
7,11,3,44,1,0,0,-1,45,0,1,0,1.5714285714285714,3,0,0.0
8,1,0,0,0,8,0,-1,0,0,0,0,0.09090909090909091,0,0,0.0
9,2,4,11,1,0,0,1,12,0,2,0,2.0,4,0,0.0
10,6,4,31,1,0,0,2,32,0,3,1,3.0,4,0,0.0
11,6,5,34,1,0,0,-1,35,0,0,0,1.0,5,0,0.0
12,2,4,11,1,0,0,-1,12,0,2,0,0.3333333333333333,4,0,0.0
13,2,3,10,1,0,0,-1,11,0,2,0,1.0,3,0,0.0
14,7,4,31,1,0,0,-1,32,0,1,0,3.5,4,0,0.0
15,2,6,17,1,0,0,-1,18,0,0,0,0.2857142857142857,6,0,0.0
16,1,6,11,1,0,0,-1,12,0,1,0,0.5,6,0,0.0
17,7,4,37,1,0,1,2,38,0,3,0,7.0,4,0,0.0
18,4,3,15,1,0,0,-1,16,0,0,0,0.5714285714285714,3,0,0.0
19,5,3,19,1,0,0,-1,20,0,1,0,1.25,3,0,0.0
20,6,4,28,1,0,0,-1,29,0,3,0,1.2,4,0,0.0
21,10,4,50,1,0,0,-1,51,0,6,0,1.6666666666666667,4,0,0.0
22,3,4,17,1,0,0,-1,18,0,1,0,0.3,4,0,0.0
23,5,3,18,1,0,0,2,19,0,1,1,1.6666666666666667,3,0,0.0
24,9,3,38,1,0,1,-1,39,0,2,0,1.8,3,0,0.0
25,3,5,20,1,0,0,-1,21,0,0,0,0.3333333333333333,5,0,0.0
26,12,3,50,1,0,0,-1,51,0,0,0,4.0,3,0,0.0
27,5,4,23,1,0,0,-1,24,0,0,0,0.4166666666666667,4,0,0.0
28,1,4,8,1,0,0,-1,9,0,0,0,0.2,4,0,0.0
29,5,4,23,1,0,0,-1,24,0,3,0,5.0,4,0,0.0
30,5,3,21,1,0,0,-1,22,0,0,0,1.0,3,0,0.0
31,4,5,24,1,0,1,-1,25,0,0,0,0.8,5,0,0.0
32,1,4,8,1,0,0,-1,9,0,0,0,0.25,4,0,0.0
33,5,3,18,1,0,0,-1,19,0,1,0,5.0,3,0,0.0
34,5,2,11,3,0,0,1,14,0,1,0,1.0,2,0,0.0
35,1,0,0,0,4,0,-1,0,0,0,0,0.2,0,0,0.0
36,9,3,38,1,0,0,-1,39,0,4,0,9.0,3,0,0.0
37,6,4,27,1,0,0,-1,28,0,1,0,0.6666666666666666,4,0,0.0
38,6,3,23,1,0,0,1,24,0,2,0,1.0,3,0,0.0
39,11,4,51,1,0,0,-1,52,0,1,0,1.8333333333333333,4,0,0.0
