serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url
1,11,3,37,1,0,0,-1,38,0,0,0,0,3,0
2,5,2,16,1,0,1,-1,17,0,0,0,0.45454545454545453,2,0
3,1,4,8,1,0,0,-1,9,0,0,0,0.2,4,0
4,7,3,29,1,0,0,-1,30,0,0,0,7.0,3,0
5,1,1,2,1,0,0,-1,3,0,0,0,0.14285714285714285,1,0
6,7,2,22,1,0,1,-1,23,1,0,0,7.0,2,0
7,1,2,4,1,0,0,0,5,0,0,0,0.14285714285714285,2,0
8,7,3,29,1,0,0,-1,30,0,0,0,7.0,3,0
9,5,3,17,1,0,0,-1,18,0,0,0,0.7142857142857143,3,0
10,7,2,21,1,0,0,-1,22,0,0,0,1.4,2,0
11,9,4,46,1,0,0,-1,47,0,0,0,1.2857142857142858,4,0
12,4,2,9,1,0,0,-1,10,1,0,0,0.4444444444444444,2,0
13,1,8,15,1,0,0,-1,16,0,0,0,0.25,8,0
14,1,0,0,0,5,0,-1,0,0,0,0,1.0,0,0
15,6,2,19,1,0,0,-1,20,0,0,0,6.0,2,0
16,1,0,0,0,4,0,-1,0,0,0,0,0.16666666666666666,0,0
17,7,2,18,1,0,0,0,19,0,0,0,7.0,2,0
18,3,2,10,1,0,0,-1,11,0,0,0,0.42857142857142855,2,0
19,7,3,28,2,0,1,-1,30,0,0,0,2.3333333333333335,3,0
20,1,3,6,0,0,0,0,6,0,0,0,0.14285714285714285,3,0
21,6,3,22,1,0,1,-1,23,1,0,0,6.0,3,0
22,1,0,0,0,2,0,-1,0,0,0,0,0.16666666666666666,0,0
23,2,5,14,1,0,0,-1,15,0,1,0,2.0,5,0
24,5,1,9,1,0,0,-1,10,0,0,0,2.5,1,0
25,2,3,8,1,0,0,0,9,0,0,0,0.4,3,0
26,4,3,14,1,0,0,-1,15,0,0,0,2.0,3,0
27,4,3,14,1,0,0,-1,15,0,0,0,1.0,3,0
28,11,3,41,1,0,0,-1,42,0,0,0,2.75,3,0
29,4,3,14,1,0,0,-1,15,0,0,0,0.36363636363636365,3,0
30,10,3,36,1,0,1,-1,37,0,0,0,2.5,3,0
31,8,3,33,1,0,0,-1,34,1,0,0,0.8,3,0
32,8,3,28,1,0,1,-1,29,0,0,0,1.0,3,0
33,19,3,64,1,0,1,-1,65,3,0,0,2.375,3,0
34,21,3,69,1,0,3,-1,70,1,0,0,1.105263157894737,3,0
35,4,3,14,1,0,0,-1,15,0,0,0,0.19047619047619047,3,0
36,9,2,27,1,0,0,-1,28,0,0,0,2.25,2,0
37,4,2,12,1,0,0,-1,13,0,0,0,0.4444444444444444,2,0
38,6,3,19,2,0,0,-1,21,0,0,0,1.5,3,0
39,6,3,20,1,0,1,-1,21,0,0,0,1.0,3,0
40,3,3,14,1,0,0,-1,15,0,0,0,0.5,3,0
41,1,2,3,1,0,0,-1,4,0,0,0,0.3333333333333333,2,0
42,1,2,3,1,0,0,-1,4,0,0,0,1.0,2,0
43,2,2,7,1,0,0,-1,8,0,0,0,2.0,2,0
44,2,3,8,1,0,0,-1,9,0,0,0,1.0,3,0
45,2,2,6,1,0,0,-1,7,0,0,0,1.0,2,0
46,3,2,7,1,0,0,-1,8,0,0,0,1.5,2,0
47,1,3,5,1,0,0,-1,6,0,0,0,0.3333333333333333,3,0
48,6,3,24,1,0,0,-1,25,0,0,0,6.0,3,0
49,4,2,13,1,0,0,-1,14,1,0,0,0.6666666666666666,2,0
50,2,3,7,2,0,0,-1,9,0,0,0,0.5,3,0
51,2,2,6,1,0,0,-1,7,0,0,0,1.0,2,0
52,5,2,14,1,0,0,0,15,0,0,0,2.5,2,0
53,1,3,6,1,0,0,-1,7,0,0,0,0.2,3,0
54,1,3,6,1,0,0,-1,7,0,0,0,1.0,3,0
55,3,1,5,2,0,0,0,7,0,0,0,3.0,1,0
