serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url,response_time
1,1,0,0,0,4,0,-1,0,0,0,0,0,0,0,0
2,5,2,16,1,0,1,-1,17,0,0,0,5.0,2,0,0
3,3,3,11,1,0,0,-1,12,0,1,0,0.6,3,0,0
4,8,3,30,1,0,1,-1,31,1,0,0,2.6666666666666665,3,0,0.0
5,1,0,0,0,3,0,-1,0,0,0,0,0.125,0,0,0.0
6,5,3,16,2,0,0,-1,18,0,0,0,5.0,3,0,0.0
7,3,2,10,1,0,0,-1,11,0,0,0,0.6,2,0,0.0
8,5,3,19,1,0,0,-1,20,0,0,0,1.6666666666666667,3,0,0.0
9,3,3,14,1,0,0,-1,15,0,1,0,0.6,3,0,0.0
10,3,4,18,1,0,0,-1,19,0,0,0,1.0,4,0,0.0
11,7,2,22,1,0,1,-1,23,0,0,0,2.3333333333333335,2,0,0.0
12,6,3,21,1,0,0,-1,22,0,0,0,0.8571428571428571,3,0,0.0
13,1,0,0,0,4,0,-1,0,0,0,0,0.16666666666666666,0,0,0.0
14,6,3,23,1,0,0,-1,24,0,1,0,6.0,3,0,0.0
15,6,2,19,1,0,0,0,20,0,0,0,1.0,2,0,0.0
16,6,3,21,1,0,1,-1,22,2,1,0,1.0,3,0,0.0
17,8,2,25,1,0,0,-1,26,0,0,0,1.3333333333333333,2,0,0.0
18,6,4,27,1,0,1,-1,28,0,0,0,0.75,4,0,0.0
19,6,3,25,1,0,0,-1,26,0,2,0,1.0,3,0,0.0
20,1,2,3,1,0,0,-1,4,0,0,0,0.16666666666666666,2,0,0.0
21,1,0,0,0,2,0,-1,0,0,0,0,1.0,0,0,0.0
22,2,3,8,1,0,0,-1,9,0,1,0,2.0,3,0,0.0
23,6,3,26,1,0,2,-1,27,0,0,0,3.0,3,0,0.0
24,8,4,38,1,0,0,-1,39,0,0,0,1.3333333333333333,4,0,0.0
25,5,3,20,1,0,0,-1,21,0,1,0,0.625,3,0,0.0
26,7,3,29,1,0,0,0,30,0,1,0,1.4,3,0,0.0
27,5,2,15,1,0,0,0,16,0,0,0,0.7142857142857143,2,0,0.0
28,13,4,65,1,0,0,1,66,0,2,0,2.6,4,0,0.0
29,5,3,21,1,0,1,-1,22,0,0,0,0.38461538461538464,3,0,0.0
30,10,3,39,1,0,1,-1,40,0,0,0,2.0,3,0,0.0
31,3,3,12,1,0,0,-1,13,0,0,0,0.3,3,0,0.0
32,3,3,11,1,0,0,0,12,0,0,0,1.0,3,0,0.0
33,1,1,2,1,0,0,-1,3,0,0,0,0.3333333333333333,1,0,0.0
34,9,3,30,1,0,1,0,31,0,0,0,9.0,3,0,0.0
35,9,3,34,1,0,1,-1,35,0,0,0,1.0,3,0,0.0
36,1,2,3,1,0,0,-1,4,0,0,0,0.1111111111111111,2,0,0.0
37,6,3,25,1,0,0,2,26,0,1,1,6.0,3,0,0.0
38,1,0,0,0,2,0,-1,0,0,0,0,0.16666666666666666,0,0,0.0
39,4,3,15,1,0,1,-1,16,0,1,0,4.0,3,0,0.0
40,6,2,19,1,0,0,-1,20,0,0,0,1.5,2,0,0.0
41,1,0,0,0,3,0,-1,0,0,0,0,0.16666666666666666,0,0,0.0
42,3,2,10,1,0,0,0,11,0,1,0,3.0,2,0,0.0
43,1,0,0,0,3,0,-1,0,0,0,0,0.3333333333333333,0,0,0.0
44,2,2,6,1,0,0,-1,7,0,0,0,2.0,2,0,0.0
45,7,3,28,1,0,1,-1,29,0,0,0,3.5,3,0,0.0
46,7,3,26,1,0,0,-1,27,0,0,0,1.0,3,0,0.0
47,10,3,33,1,0,1,-1,34,0,0,0,1.4285714285714286,3,0,0.0
