serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url
1,1,1,2,1,0,0,-1,3,0,0,0,0,1,0
2,4,2,10,1,0,0,-1,11,0,0,0,4.0,2,0
3,1,0,0,0,2,0,-1,0,0,0,0,0.25,0,0
4,4,3,15,1,0,0,-1,16,0,0,0,4.0,3,0
5,1,0,0,0,0,0,-1,0,0,0,0,0.25,0,0
6,1,1,1,1,0,0,-1,2,0,0,0,1.0,1,0
7,1,2,4,1,0,0,-1,5,0,1,0,1.0,2,0
8,4,4,20,1,0,0,-1,21,0,0,0,4.0,4,0
9,1,0,0,0,0,0,-1,0,0,0,0,0.25,0,0
10,2,2,7,1,0,0,-1,8,0,0,0,2.0,2,0
11,1,1,2,1,0,0,-1,3,0,0,0,0.5,1,0
12,1,1,2,1,0,0,-1,3,0,0,0,1.0,1,0
13,3,3,14,1,0,0,-1,15,0,0,0,3.0,3,0
14,1,1,1,1,0,0,-1,2,0,0,0,0.3333333333333333,1,0
15,3,3,12,1,0,0,-1,13,1,0,0,3.0,3,0
16,2,4,12,0,0,0,1,12,0,0,0,0.6666666666666666,4,1
17,1,2,4,1,0,0,-1,5,0,1,0,0.5,2,0
18,7,3,23,1,0,0,-1,24,0,0,0,7.0,3,0
19,1,1,1,1,0,0,-1,2,0,0,0,0.14285714285714285,1,0
20,2,3,8,1,0,0,2,9,0,0,0,2.0,3,0
21,1,1,1,1,0,0,-1,2,1,0,0,0.5,1,0
22,1,2,3,1,0,0,-1,4,0,1,0,1.0,2,0
23,2,2,6,1,0,0,-1,7,0,0,0,2.0,2,0
24,5,3,18,1,0,0,-1,19,0,0,0,2.5,3,0
25,1,0,0,0,3,0,-1,0,0,0,0,0.2,0,0
26,7,3,28,1,0,0,-1,29,1,0,0,7.0,3,0
27,2,3,9,1,0,0,-1,10,0,0,0,0.2857142857142857,3,0
28,1,0,0,0,2,0,-1,0,0,0,0,0.5,0,0
29,1,2,3,1,0,0,-1,4,0,1,0,1.0,2,0
30,5,3,17,1,0,0,-1,18,1,0,0,5.0,3,0
31,4,4,21,1,0,0,-1,22,0,0,0,0.8,4,0
32,4,3,14,1,0,0,-1,15,0,0,0,1.0,3,0
33,5,2,16,1,0,1,-1,17,0,0,0,1.25,2,0
34,3,3,12,1,0,0,-1,13,0,0,0,0.6,3,0
35,7,3,30,1,0,0,-1,31,0,0,0,2.3333333333333335,3,0
36,1,4,8,1,0,0,-1,9,0,1,0,0.14285714285714285,4,0
37,6,2,17,1,0,0,-1,18,1,0,0,6.0,2,0
38,4,3,15,1,0,0,-1,16,0,0,0,0.6666666666666666,3,0
39,1,0,0,0,2,0,-1,0,0,0,0,0.25,0,0
40,1,3,5,1,0,0,-1,6,0,0,0,1.0,3,0
41,7,2,22,1,0,3,-1,23,0,0,0,7.0,2,0
42,1,2,3,1,0,0,-1,4,0,1,0,0.14285714285714285,2,0
43,5,2,14,1,0,0,-1,15,0,0,0,5.0,2,0
44,7,2,20,1,0,1,-1,21,1,0,0,1.4,2,0
45,1,1,1,1,0,0,-1,2,0,0,0,0.14285714285714285,1,0
46,8,4,39,3,0,2,-1,42,2,0,0,8.0,4,0
47,4,4,22,2,0,1,-1,24,0,0,0,0.5,4,0
48,2,2,5,1,0,1,-1,6,2,0,0,0.5,2,0
49,3,3,11,1,0,0,-1,12,0,0,0,1.5,3,0
50,5,2,14,0,0,0,0,14,0,0,0,1.6666666666666667,2,0
51,9,2,24,1,0,0,1,25,1,0,0,1.8,2,0
52,5,2,15,1,0,1,-1,16,0,0,0,0.5555555555555556,2,0
53,6,3,23,1,0,0,0,24,1,0,0,1.2,3,0
54,4,3,15,1,0,1,-1,16,0,0,0,0.6666666666666666,3,0
55,1,0,0,0,2,0,-1,0,0,0,0,0.25,0,0
56,3,3,14,1,0,0,-1,15,0,0,0,3.0,3,0
57,7,3,25,1,0,1,-1,26,0,0,0,2.3333333333333335,3,0
58,2,1,4,1,0,0,0,5,0,0,0,0.2857142857142857,1,0
59,4,1,7,0,0,0,1,7,0,0,0,2.0,1,0
60,3,2,7,1,0,0,0,8,0,0,0,0.75,2,0
61,1,2,3,1,0,0,-1,4,0,0,0,0.3333333333333333,2,0
62,4,3,17,1,0,0,-1,18,0,0,0,4.0,3,0
63,3,2,9,1,0,0,-1,10,0,0,0,0.75,2,0
64,15,2,43,1,0,0,-1,44,0,0,0,5.0,2,0
65,1,0,0,0,2,0,-1,0,0,0,0,0.06666666666666667,0,0
66,2,1,3,1,0,0,-1,4,1,0,0,2.0,1,0
67,3,2,8,1,0,0,-1,9,0,0,0,1.5,2,0
68,3,2,10,1,0,0,-1,11,0,0,0,1.0,2,0
