serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url
1,5,3,22,1,0,0,1,23,0,0,0,0,3,0
2,1,2,3,1,1,0,-1,4,0,0,0,0.2,2,0
3,1,2,3,1,0,0,-1,4,0,0,0,1.0,2,0
4,2,5,16,1,0,0,1,17,0,0,0,2.0,5,0
5,3,3,11,1,0,0,2,12,0,0,0,1.5,3,0
6,4,4,20,0,0,0,3,20,0,1,1,1.3333333333333333,4,0
7,5,3,19,1,0,0,-1,20,0,0,0,1.25,3,0
8,1,1,1,1,0,0,-1,2,0,0,0,0.2,1,0
9,7,3,25,1,1,0,2,26,0,1,1,7.0,3,0
10,2,2,6,1,0,0,1,7,0,0,0,0.2857142857142857,2,0
11,3,3,12,2,0,1,-1,14,1,0,0,1.5,3,0
12,4,4,19,1,0,0,-1,20,0,0,0,1.3333333333333333,4,0
13,4,4,21,1,0,0,-1,22,0,0,0,1.0,4,0
14,9,4,47,1,0,2,1,48,0,0,0,2.25,4,0
15,7,3,23,1,0,0,2,24,0,1,1,0.7777777777777778,3,0
16,7,3,27,1,0,0,3,28,0,0,0,1.0,3,0
17,3,3,12,1,1,1,3,13,1,0,0,0.42857142857142855,3,0
18,4,4,20,1,0,0,0,21,0,0,0,1.3333333333333333,4,0
19,5,3,21,1,0,1,-1,22,0,0,0,1.25,3,0
20,2,2,7,1,0,0,0,8,0,0,0,0.4,2,0
21,8,2,23,0,2,0,-1,23,0,0,0,4.0,2,0
22,2,2,7,1,0,0,-1,8,0,0,0,0.25,2,0
23,5,3,17,2,0,2,-1,19,0,0,0,2.5,3,0
24,9,3,29,1,0,2,2,30,1,1,1,1.8,3,0
25,11,3,39,1,0,1,1,40,0,0,0,1.2222222222222223,3,0
26,3,2,8,1,0,2,-1,9,0,0,0,0.2727272727272727,2,0
27,4,3,16,1,0,0,0,17,0,0,0,1.3333333333333333,3,0
28,1,2,3,1,0,0,1,4,0,0,0,0.25,2,0
29,3,3,12,1,0,1,1,13,0,0,0,3.0,3,0
30,2,7,21,2,0,0,5,23,0,1,1,0.6666666666666666,7,0
31,11,3,42,1,0,0,1,43,0,0,0,5.5,3,0
32,7,3,23,1,0,1,1,24,0,0,0,0.6363636363636364,3,0
33,3,4,17,1,0,0,1,18,0,0,0,0.42857142857142855,4,0
34,6,3,22,1,0,0,-1,23,0,0,0,2.0,3,0
35,1,2,3,1,0,0,-1,4,0,0,0,0.16666666666666666,2,0
36,1,5,10,1,0,0,-1,11,0,0,0,1.0,5,0
37,5,3,21,1,0,1,-1,22,1,0,0,5.0,3,0
38,3,3,14,1,0,0,-1,15,1,0,0,0.6,3,0
39,5,3,22,1,0,1,-1,23,1,0,0,1.6666666666666667,3,0
40,1,0,0,0,1,0,-1,0,0,0,0,0.2,0,0
41,4,3,15,1,0,0,-1,16,0,0,0,4.0,3,0
42,5,3,19,1,0,0,-1,20,0,0,0,1.25,3,0
43,3,3,12,1,0,0,-1,13,0,0,0,0.6,3,0
44,3,4,17,1,0,0,-1,18,0,0,0,1.0,4,0
45,6,2,17,1,0,0,-1,18,0,0,0,2.0,2,0
46,5,2,15,1,0,0,-1,16,0,0,0,0.8333333333333334,2,0
47,1,4,7,1,0,0,-1,8,0,0,0,0.2,4,0
48,1,4,7,1,0,0,-1,8,0,0,0,1.0,4,0
49,1,3,5,1,0,0,-1,6,0,0,0,1.0,3,0
50,1,2,3,1,0,0,-1,4,0,0,0,1.0,2,0
51,4,3,17,1,0,0,-1,18,0,0,0,4.0,3,0
52,15,4,69,1,0,3,3,70,1,0,0,3.75,4,0
53,4,3,18,1,0,0,-1,19,0,0,0,0.26666666666666666,3,0
54,5,4,29,0,0,0,2,29,0,0,0,1.25,4,0
55,6,2,18,1,0,0,-1,19,0,0,0,1.2,2,0
56,5,4,23,1,0,0,-1,24,0,0,0,0.8333333333333334,4,0
57,5,3,21,2,0,1,-1,23,0,0,0,1.0,3,0
58,1,1,2,1,0,0,0,3,0,0,0,0.2,1,0
59,1,2,3,1,0,0,-1,4,0,0,0,1.0,2,0
60,5,3,17,1,0,0,-1,18,0,0,0,5.0,3,0
61,6,4,27,1,0,0,1,28,0,0,0,1.2,4,0
62,2,3,9,1,0,0,1,10,0,0,0,0.3333333333333333,3,0
63,12,3,46,1,0,2,1,47,0,0,0,6.0,3,0
64,6,4,27,1,0,0,1,28,0,0,0,0.5,4,0
65,8,4,36,1,0,0,1,37,0,0,0,1.3333333333333333,4,0
66,8,3,29,1,0,0,-1,30,0,0,0,1.0,3,0
67,10,3,40,1,0,0,1,41,0,0,0,1.25,3,0
68,1,2,4,1,0,0,0,5,0,0,0,0.1,2,0
69,3,2,9,1,0,1,1,10,0,0,0,3.0,2,0
70,5,2,15,1,0,0,0,16,0,0,0,1.6666666666666667,2,0
71,8,3,28,1,0,0,1,29,0,0,0,1.6,3,0
72,1,2,3,1,0,0,0,4,0,0,0,0.125,2,0
73,4,4,20,1,0,0,1,21,0,0,0,4.0,4,0
74,7,3,26,1,0,0,-1,27,0,0,0,1.75,3,0
75,5,5,29,1,0,0,1,30,0,0,0,0.7142857142857143,5,0
76,4,3,14,1,0,0,-1,15,0,0,0,0.8,3,0
77,4,2,13,1,0,0,-1,14,0,0,0,1.0,2,0
78,11,3,41,1,0,1,-1,42,0,0,0,2.75,3,0
79,4,3,16,0,0,0,0,16,0,0,0,0.36363636363636365,3,0
80,3,3,12,1,0,0,-1,13,0,0,0,0.75,3,0
81,1,0,0,0,2,0,0,0,0,0,0,0.3333333333333333,0,0
82,4,4,20,1,0,0,-1,21,0,0,0,4.0,4,0
83,7,2,21,1,0,1,-1,22,0,0,0,1.75,2,0
84,4,3,16,1,0,0,-1,17,0,0,0,0.5714285714285714,3,0
85,11,3,37,1,0,0,-1,38,1,0,0,2.75,3,0
86,5,2,11,1,0,3,-1,12,2,0,0,0.45454545454545453,2,0
87,2,2,6,1,0,0,-1,7,0,0,0,0.4,2,0
88,7,3,23,1,0,1,-1,24,0,0,0,3.5,3,0
89,2,2,7,1,0,0,-1,8,0,0,0,0.2857142857142857,2,0
90,4,2,12,1,0,0,-1,13,1,0,0,2.0,2,0
91,2,1,4,1,0,0,-1,5,1,0,0,0.5,1,0
92,2,3,8,1,0,0,1,9,0,0,0,1.0,3,0
93,1,0,0,0,1,0,-1,0,0,0,0,0.5,0,0
94,6,3,23,1,0,0,1,24,0,0,0,6.0,3,0
95,3,2,8,1,0,0,-1,9,0,0,0,0.5,2,0
96,4,3,14,1,0,0,1,15,0,0,0,1.3333333333333333,3,0
97,5,3,19,1,0,0,-1,20,0,0,0,1.25,3,0
98,1,2,3,1,0,0,-1,4,0,0,0,0.2,2,0
99,5,3,18,1,0,1,-1,19,0,0,0,5.0,3,0
100,4,4,19,1,1,0,-1,20,0,0,0,0.8,4,0
101,9,3,33,1,0,1,-1,34,0,0,0,2.25,3,0
102,2,1,4,1,0,0,-1,5,0,0,0,0.2222222222222222,1,0
103,2,2,5,1,0,0,-1,6,0,0,0,1.0,2,0
104,2,2,7,1,0,0,-1,8,0,0,0,1.0,2,0
105,2,3,8,1,0,0,-1,9,0,0,0,1.0,3,0
106,5,4,24,1,0,0,-1,25,0,0,0,2.5,4,0
107,2,4,11,1,1,0,-1,12,0,0,0,0.4,4,0
108,3,4,15,1,0,0,-1,16,0,0,0,1.5,4,0
109,5,3,20,1,0,0,-1,21,0,0,0,1.6666666666666667,3,0
110,2,3,10,1,0,0,-1,11,0,0,0,0.4,3,0
111,6,4,27,1,0,0,1,28,0,0,0,3.0,4,0
112,2,3,10,1,0,0,-1,11,0,0,0,0.3333333333333333,3,0
113,3,2,9,1,0,0,-1,10,1,0,0,1.5,2,0
114,3,2,9,1,0,0,-1,10,0,0,0,1.0,2,0
115,4,3,14,1,0,0,-1,15,0,0,0,1.3333333333333333,3,0
116,5,3,20,1,0,1,1,21,0,0,0,1.25,3,0
117,2,2,7,1,1,0,-1,8,0,0,0,0.4,2,0
118,1,3,5,1,0,0,-1,6,0,0,0,0.5,3,0
119,4,3,16,1,1,1,-1,17,0,0,0,4.0,3,0
120,1,3,5,1,0,0,1,6,0,0,0,0.25,3,0
121,1,1,1,1,0,0,-1,2,2,0,0,1.0,1,0
122,5,3,22,1,0,0,1,23,0,0,0,5.0,3,0
123,1,0,0,0,1,0,-1,0,0,0,0,0.2,0,0
124,1,0,0,0,1,0,-1,0,0,0,0,1.0,0,0
125,8,3,30,1,1,0,2,31,0,1,1,8.0,3,0
126,5,1,10,1,0,2,1,11,0,0,0,0.625,1,0
127,7,2,18,1,0,0,-1,19,0,0,0,1.4,2,0
128,5,2,14,1,0,1,-1,15,0,0,0,0.7142857142857143,2,0
129,1,1,1,1,0,0,0,2,0,0,0,0.2,1,0
130,1,0,0,0,1,0,-1,0,0,0,0,1.0,0,0
131,1,3,5,1,0,0,-1,6,0,0,0,1.0,3,0
132,2,5,15,1,0,0,-1,16,0,0,0,2.0,5,0
133,5,3,17,1,0,0,-1,18,0,0,0,2.5,3,0
134,4,2,13,0,1,0,-1,13,0,0,0,0.8,2,0
135,5,3,17,1,0,0,-1,18,0,0,0,1.25,3,0
136,2,2,5,1,0,0,-1,6,0,0,0,0.4,2,0
137,19,4,82,1,0,7,6,83,3,1,1,9.5,4,0
138,4,3,14,1,0,0,-1,15,0,0,0,0.21052631578947367,3,0
139,1,1,2,1,0,0,0,3,0,0,0,0.25,1,0
140,12,4,55,1,0,1,3,56,0,0,0,12.0,4,0
141,8,2,25,1,0,3,1,26,2,0,0,0.6666666666666666,2,0
142,11,4,56,1,0,1,1,57,0,0,0,1.375,4,0
143,2,2,6,1,0,0,-1,7,0,0,0,0.18181818181818182,2,0
144,5,4,25,1,1,0,1,26,0,0,0,2.5,4,0
145,1,2,3,1,0,0,0,4,0,0,0,0.2,2,0
146,3,3,13,1,0,0,-1,14,0,0,0,3.0,3,0
147,2,2,8,0,0,0,-1,8,0,0,0,0.6666666666666666,2,0
148,4,3,17,1,0,0,-1,18,0,0,0,2.0,3,0
149,2,1,4,1,0,0,-1,5,0,0,0,0.5,1,0
150,5,3,19,1,0,2,-1,20,0,0,0,2.5,3,0
151,5,2,14,1,0,1,-1,15,0,0,0,1.0,2,0
152,2,2,5,1,0,1,-1,6,0,0,0,0.4,2,0
153,3,2,9,1,0,0,-1,10,1,0,0,1.5,2,0
154,7,3,27,1,1,0,-1,28,2,0,0,2.3333333333333335,3,0
155,1,2,4,1,0,0,-1,5,0,0,0,0.14285714285714285,2,0
156,1,4,8,1,0,0,1,9,0,0,0,1.0,4,0
157,2,2,5,1,0,0,-1,6,0,0,0,2.0,2,0
158,5,3,19,1,0,1,-1,20,0,0,0,2.5,3,0
159,3,3,12,1,0,0,-1,13,0,0,0,0.6,3,0
