serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url
1,4,4,20,2,5,0,11,22,0,3,4,0,4,0
2,9,4,39,1,3,0,2,40,0,2,1,2.25,4,0
3,12,3,44,3,0,0,6,47,0,4,1,1.3333333333333333,3,0
4,1,0,0,0,3,0,-1,0,0,0,0,0.08333333333333333,0,0
5,4,3,15,1,0,0,2,16,0,1,1,4.0,3,0
6,8,2,25,1,0,0,3,26,0,1,1,2.0,2,0
7,6,4,28,1,0,0,1,29,0,0,0,0.75,4,0
8,10,2,29,1,0,0,2,30,0,0,0,1.6666666666666667,2,0
9,6,3,26,1,0,1,4,27,0,2,1,0.6,3,0
10,3,2,10,1,0,0,1,11,0,0,0,0.5,2,0
11,7,3,23,1,0,1,2,24,0,2,1,2.3333333333333335,3,0
12,5,3,21,1,0,0,0,22,0,0,0,0.7142857142857143,3,0
13,2,3,8,1,0,0,1,9,0,1,0,0.4,3,0
14,5,3,18,1,0,0,2,19,0,2,1,2.5,3,0
15,1,2,4,1,0,0,2,5,0,1,1,0.2,2,0
16,1,2,3,1,0,0,1,4,0,0,0,1.0,2,0
17,2,2,6,1,0,0,0,7,0,0,0,2.0,2,0
18,9,2,28,1,0,0,3,29,3,1,0,4.5,2,0
19,1,1,2,1,0,0,5,3,0,1,2,0.1111111111111111,1,0
20,3,4,16,1,0,1,2,17,0,1,1,3.0,4,0
21,7,2,19,2,0,2,2,21,2,1,1,2.3333333333333335,2,0
22,3,2,8,1,1,0,0,9,0,0,0,0.42857142857142855,2,0
23,6,3,22,1,0,0,3,23,0,1,1,2.0,3,0
24,1,0,0,0,3,0,-1,0,0,0,0,0.16666666666666666,0,0
25,2,2,7,1,0,0,2,8,0,1,1,2.0,2,0
26,2,3,7,2,0,0,5,9,0,1,1,1.0,3,0
27,3,5,22,1,0,0,5,23,0,2,1,1.5,5,0
28,3,3,11,1,0,0,-1,12,0,1,0,1.0,3,0
29,1,0,0,1,0,0,-1,1,0,0,0,0.3333333333333333,0,0
30,2,2,7,1,0,0,3,8,0,2,1,2.0,2,0
31,5,2,15,1,0,2,2,16,2,1,1,2.5,2,0
32,3,2,10,1,0,0,3,11,2,0,0,0.6,2,0
33,6,2,19,1,0,1,2,20,0,1,0,2.0,2,0
34,5,4,25,1,0,0,1,26,0,0,0,0.8333333333333334,4,0
35,3,2,8,1,0,0,1,9,0,0,0,0.6,2,0
36,5,3,20,2,0,0,4,22,0,1,1,1.6666666666666667,3,0
37,5,2,15,1,0,2,1,16,0,0,0,1.0,2,0
38,4,3,15,1,3,1,2,16,0,1,1,0.8,3,0
39,1,0,0,0,5,0,-1,0,0,0,0,0.25,0,0
40,1,0,0,0,4,0,-1,0,0,0,0,1.0,0,0
41,9,3,29,1,0,4,2,30,2,1,1,9.0,3,0
42,6,4,29,1,0,3,1,30,0,0,0,0.6666666666666666,4,0
43,6,3,20,1,0,0,3,21,0,1,1,1.0,3,0
44,9,3,34,1,0,1,4,35,0,2,1,1.5,3,0
45,1,0,0,0,4,0,-1,0,0,0,0,0.1111111111111111,0,0
46,14,3,51,1,4,1,2,52,0,1,0,14.0,3,0
47,24,4,99,5,0,1,12,104,0,4,3,1.7142857142857142,4,0
48,10,3,41,1,4,0,3,42,0,2,1,0.4166666666666667,3,0
49,4,2,12,1,0,0,6,13,0,1,2,0.4,2,0
50,1,0,0,0,5,0,-1,0,0,0,0,0.25,0,0
51,9,2,24,1,0,3,7,25,2,1,2,9.0,2,0
52,1,0,0,0,4,0,-1,0,0,0,0,0.1111111111111111,0,0
53,3,5,20,2,0,0,-1,22,0,0,0,3.0,5,0
54,1,0,0,0,4,0,-1,0,0,0,0,0.3333333333333333,0,0
55,3,3,12,1,0,1,-1,13,0,0,0,3.0,3,0
56,6,2,19,1,0,1,-1,20,0,0,0,2.0,2,0
57,3,3,13,1,0,0,-1,14,0,0,0,0.5,3,0
58,1,2,4,1,0,0,3,5,0,1,1,0.3333333333333333,2,0
59,3,2,10,1,0,0,-1,11,0,0,0,3.0,2,0
60,1,0,0,0,4,0,-1,0,0,0,0,0.3333333333333333,0,0
61,6,3,21,1,0,1,-1,22,0,1,0,6.0,3,0
62,3,2,9,1,0,0,-1,10,0,1,0,0.5,2,0
63,4,2,13,1,0,1,-1,14,0,0,0,1.3333333333333333,2,0
64,2,4,12,0,0,0,1,12,0,0,0,0.5,4,1
65,2,4,12,0,0,0,1,12,0,0,0,1.0,4,1
66,5,4,23,1,10,0,4,24,0,2,1,2.5,4,0
