serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url
1,1,2,4,1,0,0,1,5,0,0,0,0,2,0
2,3,3,13,1,0,0,1,14,0,0,0,3.0,3,0
3,1,0,0,0,1,0,-1,0,0,0,0,0.3333333333333333,0,0
4,1,0,0,0,0,0,-1,0,0,0,0,1.0,0,0
5,3,2,8,1,0,1,1,9,0,0,0,3.0,2,0
6,1,1,2,1,0,0,-1,3,0,0,0,0.3333333333333333,1,0
7,3,4,16,1,0,0,-1,17,0,0,0,3.0,4,0
8,1,0,0,0,1,0,-1,0,0,0,0,0.3333333333333333,0,0
9,2,1,3,1,0,0,1,4,0,0,0,2.0,1,0
10,3,2,7,1,0,0,-1,8,0,0,0,1.5,2,0
11,4,4,21,1,0,0,-1,22,0,0,0,1.3333333333333333,4,0
12,1,0,0,0,1,0,-1,0,0,0,0,0.25,0,0
13,1,1,2,1,0,0,-1,3,0,0,0,1.0,1,0
14,4,3,15,1,0,0,1,16,0,0,0,4.0,3,0
15,1,0,0,0,1,0,-1,0,0,0,0,0.25,0,0
16,3,1,6,1,0,1,3,7,0,0,0,3.0,1,0
17,2,1,4,1,0,1,-1,5,0,0,0,0.6666666666666666,1,0
18,5,4,25,1,0,0,3,26,0,0,0,2.5,4,0
19,5,2,12,1,0,0,-1,13,0,0,0,1.0,2,0
20,7,3,23,1,0,0,-1,24,1,0,0,1.4,3,0
21,1,2,4,1,0,0,1,5,0,0,0,0.14285714285714285,2,0
22,1,1,2,1,0,0,-1,3,0,0,0,1.0,1,0
23,2,2,6,1,0,0,-1,7,0,0,0,2.0,2,0
24,1,0,0,0,1,0,-1,0,0,0,0,0.5,0,0
25,3,6,23,1,0,0,1,24,0,0,0,3.0,6,0
26,2,3,8,1,0,0,-1,9,0,0,0,0.6666666666666666,3,0
27,2,3,8,1,0,0,-1,9,0,0,0,1.0,3,0
28,1,3,6,1,0,0,-1,7,0,0,0,0.5,3,0
29,1,0,0,0,1,0,-1,0,0,0,0,1.0,0,0
30,1,2,3,1,0,0,-1,4,0,0,0,1.0,2,0
31,8,4,39,3,0,2,0,42,0,0,0,8.0,4,0
32,18,3,61,4,0,7,2,65,0,0,0,2.25,3,0
33,14,3,49,3,0,7,2,52,0,0,0,0.7777777777777778,3,0
34,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0
35,9,3,35,1,0,3,0,36,0,0,0,0,3,0
36,2,3,10,1,0,1,1,11,0,0,0,0.2222222222222222,3,0
37,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0
38,3,6,23,1,0,1,0,24,0,0,0,0,6,0
39,0,2,1,1,0,0,0,2,0,0,0,0.0,2,0
40,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
41,4,3,16,1,0,2,0,17,0,0,0,0,3,0
42,3,4,18,1,0,1,0,19,0,0,0,0.75,4,0
43,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0
44,11,4,49,2,0,4,1,51,0,0,0,0,4,0
45,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0
46,12,4,54,1,0,8,0,55,0,0,0,0,4,0
47,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0
48,7,4,33,1,0,2,1,34,0,0,0,0,4,0
49,1,3,6,1,0,0,0,7,0,0,0,0.14285714285714285,3,0
50,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0
51,35,4,157,4,0,9,10,161,0,0,0,0,4,0
52,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0
53,21,4,86,2,0,7,3,88,1,0,0,0,4,0
54,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0
55,41,4,189,4,0,12,9,193,0,0,0,0,4,0
56,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0
57,27,3,109,2,0,12,3,111,2,0,0,0,3,0
58,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0
59,51,4,232,2,0,21,3,234,0,0,0,0,4,0
60,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0
61,4,5,24,3,0,1,2,27,0,1,0,0,5,0
62,1,2,4,1,0,0,-1,5,0,0,0,0.25,2,0
63,1,2,3,1,0,0,-1,4,0,0,0,1.0,2,0
64,2,4,11,1,0,0,1,12,0,0,0,2.0,4,0
65,4,2,9,1,0,0,3,10,0,0,0,2.0,2,0
66,2,2,6,1,0,0,3,7,0,0,0,0.5,2,0
67,1,3,6,1,0,0,1,7,0,0,0,0.5,3,0
68,6,2,19,1,0,2,-1,20,0,0,0,6.0,2,0
69,1,0,0,0,1,0,-1,0,0,0,0,0.16666666666666666,0,0
70,5,3,22,1,0,0,3,23,0,0,0,5.0,3,0
71,4,3,15,1,0,1,1,16,0,0,0,0.8,3,0
72,2,1,3,1,0,0,1,4,0,0,0,0.5,1,0
73,6,3,21,1,0,0,0,22,0,0,0,3.0,3,0
74,1,0,0,0,1,0,-1,0,0,0,0,0.16666666666666666,0,0
75,2,3,10,1,0,0,3,11,0,0,0,2.0,3,0
76,3,3,13,2,0,0,1,15,0,0,0,1.5,3,0
77,4,3,14,1,0,0,3,15,0,0,0,1.3333333333333333,3,0
78,1,0,0,0,0,0,-1,0,0,0,0,0.25,0,0
79,3,2,9,1,0,1,1,10,0,0,0,3.0,2,0
80,1,0,0,0,1,0,-1,0,0,0,0,0.3333333333333333,0,0
81,1,0,0,0,4,0,-1,0,0,0,0,1.0,0,0
82,2,1,5,0,0,0,4,5,0,1,0,2.0,1,0
83,1,0,0,0,1,0,-1,0,0,0,0,0.5,0,0
84,5,5,30,2,0,1,1,32,0,0,0,5.0,5,0
85,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0
86,45,4,207,5,0,24,5,212,5,0,0,0,4,0
87,2,4,11,2,0,0,-1,13,0,0,0,0.044444444444444446,4,0
88,1,2,5,0,0,0,-1,5,0,1,0,0.5,2,0
