serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url,response_time
1,1,2,4,1,0,0,1,5,0,0,0,0,2,0,0
2,3,3,13,1,0,0,1,14,0,0,0,3.0,3,0,0
3,1,0,0,0,1,0,-1,0,0,0,0,0.3333333333333333,0,0,0
4,1,0,0,0,0,0,-1,0,0,0,0,1.0,0,0,0
5,3,2,8,1,0,1,1,9,0,0,0,3.0,2,0,0
6,1,1,2,1,0,0,-1,3,0,0,0,0.3333333333333333,1,0,7260.0
7,3,4,16,1,0,0,-1,17,0,0,0,3.0,4,0,60.0
8,1,0,0,0,1,0,-1,0,0,0,0,0.3333333333333333,0,0,60.0
9,2,1,3,1,0,0,1,4,0,0,0,2.0,1,0,0.0
10,3,2,7,1,0,0,-1,8,0,0,0,1.5,2,0,540.0
11,4,4,21,1,0,0,-1,22,0,0,0,1.3333333333333333,4,0,540.0
12,1,0,0,0,1,0,-1,0,0,0,0,0.25,0,0,540.0
13,1,1,2,1,0,0,-1,3,0,0,0,1.0,1,0,900.0
14,4,3,15,1,0,0,1,16,0,0,0,4.0,3,0,60.0
15,1,0,0,0,1,0,-1,0,0,0,0,0.25,0,0,60.0
16,3,1,6,1,0,1,3,7,0,0,0,3.0,1,0,60.0
17,2,1,4,1,0,1,-1,5,0,0,0,0.6666666666666666,1,0,5700.0
18,5,4,25,1,0,0,3,26,0,0,0,2.5,4,0,10440.0
19,5,2,12,1,0,0,-1,13,0,0,0,1.0,2,0,36960.0
20,7,3,23,1,0,0,-1,24,1,0,0,1.4,3,0,7740.0
21,1,2,4,1,0,0,1,5,0,0,0,0.14285714285714285,2,0,8340.0
22,1,1,2,1,0,0,-1,3,0,0,0,1.0,1,0,20700.0
23,2,2,6,1,0,0,-1,7,0,0,0,2.0,2,0,59760.0
24,1,0,0,0,1,0,-1,0,0,0,0,0.5,0,0,59760.0
25,3,6,23,1,0,0,1,24,0,0,0,3.0,6,0,2520.0
26,2,3,8,1,0,0,-1,9,0,0,0,0.6666666666666666,3,0,65460.0
27,2,3,8,1,0,0,-1,9,0,0,0,1.0,3,0,60.0
28,1,3,6,1,0,0,-1,7,0,0,0,0.5,3,0,60.0
29,1,0,0,0,1,0,-1,0,0,0,0,1.0,0,0,60.0
30,1,2,3,1,0,0,-1,4,0,0,0,1.0,2,0,60.0
31,8,4,39,3,0,2,0,42,0,0,0,8.0,4,0,60.0
32,18,3,61,4,0,7,2,65,0,0,0,2.25,3,0,2160.0
33,14,3,49,3,0,7,2,52,0,0,0,0.7777777777777778,3,0,1080.0
34,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0,1080.0
35,9,3,35,1,0,3,0,36,0,0,0,0,3,0,1080.0
36,2,3,10,1,0,1,1,11,0,0,0,0.2222222222222222,3,0,1080.0
37,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0,1920.0
38,3,6,23,1,0,1,0,24,0,0,0,0,6,0,0.0
39,0,2,1,1,0,0,0,2,0,0,0,0.0,2,0,0.0
40,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0.0
41,4,3,16,1,0,2,0,17,0,0,0,0,3,0,0.0
42,3,4,18,1,0,1,0,19,0,0,0,0.75,4,0,0.0
43,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0,0.0
44,11,4,49,2,0,4,1,51,0,0,0,0,4,0,0.0
45,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0,60.0
46,12,4,54,1,0,8,0,55,0,0,0,0,4,0,0.0
47,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0,0.0
48,7,4,33,1,0,2,1,34,0,0,0,0,4,0,0.0
49,1,3,6,1,0,0,0,7,0,0,0,0.14285714285714285,3,0,60.0
50,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0,0.0
51,35,4,157,4,0,9,10,161,0,0,0,0,4,0,0.0
52,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0,0.0
53,21,4,86,2,0,7,3,88,1,0,0,0,4,0,12600.0
54,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0,60780.0
55,41,4,189,4,0,12,9,193,0,0,0,0,4,0,60780.0
56,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0,60780.0
57,27,3,109,2,0,12,3,111,2,0,0,0,3,0,138540.0
58,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0,0.0
59,51,4,232,2,0,21,3,234,0,0,0,0,4,0,0.0
60,0,0,0,0,0,0,-1,0,0,0,0,0.0,0,0,60.0
61,4,5,24,3,0,1,2,27,0,1,0,0,5,0,60.0
62,1,2,4,1,0,0,-1,5,0,0,0,0.25,2,0,60.0
63,1,2,3,1,0,0,-1,4,0,0,0,1.0,2,0,60.0
64,2,4,11,1,0,0,1,12,0,0,0,2.0,4,0,60.0
65,4,2,9,1,0,0,3,10,0,0,0,2.0,2,0,60.0
