serial no,average_word,word length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,average_word,average_word,average_word,average_word,average_word,average_word,average_word
1,3,4,12,1,0,0,0,13,0,0,3,1,3,5,5,3
2,2,4,8,1,0,0,0,9,0,3,1,9,2,0,14,3
3,6,3,22,1,0,0,1,23,0,1,1,7,7,1,1,1
4,5,3,17,1,0,0,1,18,0,1,3,7,3,4,2,4
5,8,4,31,2,0,0,2,33,0,4,1,1,2,9,1,8
6,3,3,7,2,0,0,1,9,0,2,3,4,6,3,4,8
7,10,2,29,0,1,0,2,29,0,3,1,15,5,3,4,20
8,5,4,19,1,0,0,0,20,0,1,2,5,8,2,9,7
9,31,3,111,2,0,0,2,113,1,3,3,1,3,3,3,1
10,5,4,19,1,0,0,1,20,0,1,4,3,10,3,2,3
11,1,4,3,1,0,0,1,4,0,4,1,6,5,0,6,1
12,9,3,26,1,0,0,1,27,0,5,1,7,31,1,1,1
13,4,3,11,1,0,0,1,12,0,4,4,4,5,1,4,1
14,2,4,7,1,0,0,1,8,0,5,1,4,1,0,1,1
15,5,3,17,2,0,0,1,19,0,5,3,4,9,0,2,6
16,3,2,6,1,1,0,0,7,0,3,2,1,4,0,3,1
17,1,9,8,1,0,0,-1,9,0,4,5,9,2,0,4,1
18,8,3,25,2,0,0,1,27,1,4,5,1,5,0,2,2
19,1,4,3,1,0,0,1,4,0,9,7,5,3,0,4,3
20,4,4,17,1,0,0,0,18,0,7,1,4,1,0,2,1
21,3,3,9,1,0,0,0,10,0,7,1,11,8,0,4,5
22,8,3,26,1,0,0,1,27,0,1,2,1,1,0,7,2
23,5,3,16,1,1,0,0,17,0,6,1,8,4,0,1,2
24,6,4,27,1,0,0,0,28,0,6,3,4,3,0,9,2
25,7,3,23,1,0,0,0,24,0,6,2,2,8,0,9,1
26,2,2,4,1,0,0,0,5,0,5,2,2,5,11,7,1
27,1,0,0,0,1,0,0,0,0,1,1,3,6,12,4,2
28,8,3,30,1,0,0,0,31,0,1,1,8,7,0,3,4
29,8,3,30,1,0,0,0,31,0,3,1,10,2,0,10,5
30,8,3,30,1,0,0,0,31,0,3,8,1,1,19,2,1
31,1,0,0,0,1,0,0,0,0,2,18,3,8,0,3,3
32,11,3,40,1,1,0,0,41,0,7,14,6,8,0,2,2
33,5,4,20,1,1,0,0,21,0,8,0,1,8,0,1,5
34,8,5,39,1,0,0,0,40,0,3,9,1,1,0,5,1
35,8,4,31,2,0,0,1,33,0,1,2,2,11,0,4,1
36,4,3,14,1,0,0,0,15,0,1,0,4,5,0,2,3
37,2,3,6,1,0,0,0,7,0,2,3,1,8,0,6,3
38,10,4,46,1,0,0,0,47,0,4,0,5,8,0,1,3
39,8,4,37,1,0,0,1,38,0,3,0,1,4,0,7,1
40,15,4,58,2,0,0,2,60,0,3,4,3,2,0,7,4
41,7,4,27,1,0,0,0,28,0,3,3,3,10,0,5,1
42,3,4,12,1,0,0,0,13,0,6,0,2,8,0,1,1
43,22,4,89,1,0,0,1,90,0,2,11,5,15,0,8,2
44,8,4,32,1,0,0,0,33,0,1,0,5,7,0,12,1
45,2,4,7,1,0,0,0,8,3,3,12,6,3,0,1,1
46,1,3,2,1,0,0,0,3,0,2,0,2,22,0,10,7
47,2,3,6,1,0,0,0,7,0,1,7,2,8,0,1,7
48,6,4,23,1,0,0,0,24,1,2,1,1,2,0,1,2
49,1,0,0,0,1,0,0,0,0,1,0,6,1,0,19,2
50,14,4,56,2,0,0,1,58,0,1,35,5,2,0,1,0
51,1,0,0,0,1,0,0,0,0,5,0,2,6,0,4,0
52,7,4,31,1,0,0,1,32,0,6,21,6,1,0,1,0
53,6,3,22,0,0,0,0,22,0,3,0,1,14,0,5,1
54,3,6,18,1,0,0,0,19,0,1,41,8,1,0,2,1
55,5,6,30,2,0,0,2,32,0,1,0,10,7,0,23,3
56,1,0,0,0,1,0,0,0,0,2,27,1,6,0,7,1
57,5,3,15,1,0,0,1,16,0,1,0,4,3,0,1,6
58,1,0,0,0,0,0,1,0,0,3,51,3,5,0,9,4
59,1,4,3,1,0,0,0,4,0,3,0,1,1,0,5,10
60,7,3,23,1,0,0,1,24,0,1,4,3,5,0,9,3
61,8,4,34,1,0,0,1,35,0,3,1,1,1,0,4,7
62,10,3,36,2,0,0,1,38,0,4,1,22,1,0,6,2
63,3,3,8,1,0,0,1,9,0,1,2,1,7,0,4,7
64,2,2,4,0,0,0,2,4,0,1,4,5,8,0,3,4
65,2,2,4,0,0,0,2,4,0,1,2,5,10,2,2,9
66,3,1,4,0,1,0,1,4,0,3,1,6,3,0,6,4
67,7,3,22,1,0,0,1,23,0,1,6,5,2,1,8,5
68,4,5,19,1,0,0,0,20,0,1,1,1,2,0,4,6
69,2,2,4,0,0,0,1,4,0,5,5,1,3,0,3,10
70,1,0,0,0,1,0,0,0,0,1,4,4,7,6,6,5
71,3,2,6,1,0,0,0,7,0,3,2,13,4,0,2,4
72,7,3,21,1,1,0,1,22,0,4,6,7,2,4,2,1
73,11,4,48,1,0,0,2,49,0,1,1,1,1,0,5,1
74,4,2,10,1,0,0,0,11,0,1,2,1,3,0,3,3
75,3,2,7,1,0,0,2,8,0,4,3,4,7,2,9,6
76,8,3,30,1,0,0,0,31,0,2,4,1,11,0,3,6
77,7,2,17,1,0,0,3,18,0,6,1,7,4,1,1,5
78,3,2,8,0,0,0,2,8,0,3,3,1,3,0,8,1
79,2,3,6,0,0,0,2,6,0,3,1,4,8,0,4,6
80,2,2,4,0,0,0,2,4,0,1,1,4,7,0,5,4
81,2,3,7,0,0,0,2,7,0,1,2,5,3,0,3,2
82,1,4,3,1,0,0,0,4,0,5,1,7,2,0,6,4
83,6,3,21,1,0,0,0,22,0,5,5,1,2,0,8,2
84,8,4,32,1,0,0,0,33,0,3,0,3,2,0,10,6
85,11,4,48,1,0,0,0,49,0,6,45,1,1,0,7,6
86,9,3,27,1,0,0,2,28,0,6,2,6,6,0,4,2
87,3,3,10,1,0,0,0,11,0,1,1,1,8,0,1,12
88,3,3,9,1,0,0,0,10,0,10,2,11,11,0,1,1
89,3,3,9,1,0,0,0,10,0,5,2,6,9,0,6,7
90,3,3,10,1,0,0,0,11,0,5,2,1,3,0,1,2
91,9,3,34,1,0,0,0,35,0,5,1,4,3,0,6,4
92,3,3,10,1,0,0,0,11,0,4,1,7,3,0,8,1
93,5,4,21,1,0,0,0,22,0,4,2,4,3,0,4,2
94,22,4,88,1,0,0,1,89,0,4,1,20,9,1,9,2
95,1,6,5,1,0,0,1,6,0,3,1,3,3,0,4,4
96,5,4,22,1,0,0,1,23,0,5,1,10,5,0,6,1
97,10,3,38,1,0,0,2,39,1,10,1,7,22,0,3,2
